ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
15,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
2,0.000,0.000,0.000,0.000,{method 'translate' of 'bytearray' objects}
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
48856,0.004,0.000,0.004,0.000,{method 'copy' of 'list' objects}
15527182,0.437,0.000,0.437,0.000,{method 'append' of 'list' objects}
12216,0.004,0.000,0.012,0.000,{method 'extend' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
219859,0.013,0.000,0.013,0.000,{method 'get' of 'dict' objects}
73290,0.005,0.000,0.005,0.000,{method 'pop' of 'dict' objects}
48856,0.003,0.000,0.003,0.000,{method 'keys' of 'dict' objects}
732843,0.036,0.000,0.036,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{built-in method fromkeys}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
12214,0.001,0.000,0.001,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
12214,0.002,0.000,0.002,0.000,{built-in method __new__ of type object at 0x1050e67b0}
5419968,0.430,0.000,0.430,0.000,{method 'split' of 'str' objects}
1160330,0.063,0.000,0.063,0.000,{method 'lower' of 'str' objects}
5688727,0.271,0.000,0.271,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
8/5,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
1478105,0.103,0.000,0.107,0.000,{built-in method builtins.isinstance}
12216,0.002,0.000,0.002,0.000,{built-in method builtins.iter}
5188010/5188000,0.148,0.000,0.148,0.000,{built-in method builtins.len}
2,0.000,0.000,0.000,0.000,{built-in method builtins.max}
21,0.000,0.000,0.000,0.000,{built-in method builtins.min}
12215,0.002,0.000,6.318,0.001,{built-in method builtins.next}
10,0.000,0.000,0.000,0.000,{built-in method builtins.ord}
