ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
15,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
2,0.000,0.000,0.000,0.000,{method 'translate' of 'bytearray' objects}
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
134354,0.010,0.000,0.010,0.000,{method 'copy' of 'list' objects}
15527182,0.453,0.000,0.453,0.000,{method 'append' of 'list' objects}
12216,0.005,0.000,0.014,0.000,{method 'extend' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
341999,0.022,0.000,0.022,0.000,{method 'get' of 'dict' objects}
97718,0.007,0.000,0.007,0.000,{method 'pop' of 'dict' objects}
146568,0.008,0.000,0.008,0.000,{method 'keys' of 'dict' objects}
2210737,0.131,0.000,0.131,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{built-in method fromkeys}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
12214,0.001,0.000,0.001,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
12214,0.003,0.000,0.003,0.000,{built-in method __new__ of type object at 0x1032b27b0}
5419968,0.431,0.000,0.431,0.000,{method 'split' of 'str' objects}
12214,0.002,0.000,0.002,0.000,{method 'find' of 'str' objects}
2894718,0.153,0.000,0.153,0.000,{method 'lower' of 'str' objects}
36642,0.006,0.000,0.006,0.000,{method 'rfind' of 'str' objects}
5688727,0.270,0.000,0.270,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
8/5,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
36643,0.004,0.000,0.004,0.000,{built-in method builtins.hasattr}
4617103,0.317,0.000,0.326,0.000,{built-in method builtins.isinstance}
12216,0.003,0.000,0.003,0.000,{built-in method builtins.iter}
5200224/5200214,0.152,0.000,0.152,0.000,{built-in method builtins.len}
2,0.000,0.000,0.000,0.000,{built-in method builtins.max}
