ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
48856,0.003,0.000,0.003,0.000,{method 'copy' of 'list' objects}
15527066,0.428,0.000,0.428,0.000,{method 'append' of 'list' objects}
12214,0.004,0.000,0.011,0.000,{method 'extend' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
219855,0.013,0.000,0.013,0.000,{method 'get' of 'dict' objects}
73290,0.005,0.000,0.005,0.000,{method 'pop' of 'dict' objects}
48856,0.003,0.000,0.003,0.000,{method 'keys' of 'dict' objects}
732840,0.032,0.000,0.032,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
12214,0.001,0.000,0.001,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
12214,0.002,0.000,0.002,0.000,{built-in method __new__ of type object at 0x1050e67b0}
5419968,0.423,0.000,0.423,0.000,{method 'split' of 'str' objects}
1160330,0.062,0.000,0.062,0.000,{method 'lower' of 'str' objects}
5688727,0.263,0.000,0.263,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
8/5,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
1478033,0.101,0.000,0.105,0.000,{built-in method builtins.isinstance}
12216,0.001,0.000,0.001,0.000,{built-in method builtins.iter}
5187902,0.146,0.000,0.146,0.000,{built-in method builtins.len}
12215,0.002,0.000,6.056,0.000,{built-in method builtins.next}
1392396,0.234,0.000,0.234,0.000,{method 'sub' of 're.Pattern' objects}
12214,0.004,0.000,0.004,0.000,{method 'split' of 're.Pattern' objects}
12350,0.009,0.000,0.009,0.000,{built-in method _codecs.utf_8_decode}
12214,0.002,0.000,0.002,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
12350,0.005,0.000,0.013,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
12214,0.002,0.000,0.004,0.000,abc.py:96(__instancecheck__)
1,0.001,0.001,7.896,7.896,profiling.py:11(read_data)
1,0.016,0.016,7.912,7.912,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1392396,0.242,0.000,0.809,0.000,re.py:203(sub)
12214,0.004,0.000,0.013,0.000,re.py:223(split)
1404610,0.242,0.000,0.337,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
12214,0.013,0.000,1.772,0.000,Spectrum.py:71(__init__)
1,0.000,0.000,0.000,0.000,fromnumeric.py:51(_wrapfunc)
24428,0.005,0.000,0.005,0.000,fromnumeric.py:70(<dictcomp>)
24428,0.014,0.000,0.041,0.000,fromnumeric.py:69(_wrapreduction)
1,0.000,0.000,0.000,0.000,fromnumeric.py:1008(_argsort_dispatcher)
1,0.000,0.000,0.000,0.000,fromnumeric.py:1012(argsort)
24428,0.002,0.000,0.002,0.000,fromnumeric.py:2399(_all_dispatcher)
24428,0.010,0.000,0.051,0.000,fromnumeric.py:2404(all)
1,0.000,0.000,0.000,0.000,{method 'argsort' of 'numpy.ndarray' objects}
24428,0.009,0.000,0.009,0.000,{method 'copy' of 'numpy.ndarray' objects}
36642,0.492,0.000,0.492,0.000,{built-in method numpy.array}
24429,0.006,0.000,0.057,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
24428,0.021,0.000,0.021,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1,0.000,0.000,0.000,0.000,<__array_function__ internals>:177(argsort)
24428,0.008,0.000,0.067,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
12214,0.003,0.000,0.542,0.000,Spectrum.py:175(get)
12214,0.001,0.000,0.001,0.000,Spectrum.py:216(losses)
12214,0.004,0.000,0.547,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
1,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
12214,0.010,0.000,0.074,0.000,Fragments.py:35(__init__)
12214,0.018,0.000,0.063,0.000,Fragments.py:60(_is_sorted)
24428,0.004,0.000,0.013,0.000,Fragments.py:66(mz)
12214,0.009,0.000,1.137,0.000,Metadata.py:42(__init__)
12214,0.005,0.000,1.010,0.000,Metadata.py:78(harmonize_metadata)
12214,0.006,0.000,0.539,0.000,Metadata.py:92(get)
24428,0.074,0.000,0.638,0.000,PickyDict.py:82(__init__)
12214,0.005,0.000,0.532,0.000,PickyDict.py:110(copy)
928264,0.474,0.000,1.363,0.000,PickyDict.py:152(_harmonize_key)
48856,0.181,0.000,1.563,0.000,PickyDict.py:163(_apply_replacements)
12214,0.003,0.000,0.528,0.000,PickyDict.py:196(key_replacements)
12214,0.003,0.000,0.477,0.000,PickyDict.py:205(key_regex_replacements)
