ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
134354,0.009,0.000,0.009,0.000,{method 'copy' of 'list' objects}
15527066,0.431,0.000,0.431,0.000,{method 'append' of 'list' objects}
12214,0.004,0.000,0.012,0.000,{method 'extend' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
341995,0.021,0.000,0.021,0.000,{method 'get' of 'dict' objects}
97718,0.006,0.000,0.006,0.000,{method 'pop' of 'dict' objects}
146568,0.008,0.000,0.008,0.000,{method 'keys' of 'dict' objects}
2210734,0.090,0.000,0.090,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
12214,0.001,0.000,0.001,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
12214,0.002,0.000,0.002,0.000,{built-in method __new__ of type object at 0x1032b27b0}
5419968,0.419,0.000,0.419,0.000,{method 'split' of 'str' objects}
12214,0.002,0.000,0.002,0.000,{method 'find' of 'str' objects}
2894718,0.150,0.000,0.150,0.000,{method 'lower' of 'str' objects}
36642,0.005,0.000,0.005,0.000,{method 'rfind' of 'str' objects}
5688727,0.263,0.000,0.263,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
8/5,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
36643,0.003,0.000,0.003,0.000,{built-in method builtins.hasattr}
4617031,0.309,0.000,0.317,0.000,{built-in method builtins.isinstance}
12216,0.002,0.000,0.002,0.000,{built-in method builtins.iter}
5200116,0.149,0.000,0.149,0.000,{built-in method builtins.len}
24429,0.005,0.000,6.085,0.000,{built-in method builtins.next}
12214,0.001,0.000,0.001,0.000,{built-in method sys._getframe}
12214,0.001,0.000,0.001,0.000,{built-in method posix.getpid}
36642,0.002,0.000,0.002,0.000,{built-in method posix.fspath}
4348184,0.730,0.000,0.730,0.000,{method 'sub' of 're.Pattern' objects}
12214,0.004,0.000,0.004,0.000,{method 'split' of 're.Pattern' objects}
12350,0.008,0.000,0.008,0.000,{built-in method _codecs.utf_8_decode}
24428,0.004,0.000,0.004,0.000,{built-in method _abc._abc_instancecheck}
12214,0.002,0.000,0.002,0.000,{built-in method time.time}
12214,0.008,0.000,0.008,0.000,{built-in method time.localtime}
12214,0.015,0.000,0.015,0.000,{built-in method time.strftime}
24428,0.002,0.000,0.002,0.000,{built-in method _thread.get_ident}
24439,0.003,0.000,0.003,0.000,{method 'acquire' of '_thread.RLock' objects}
24439,0.002,0.000,0.002,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
12214,0.034,0.000,0.034,0.000,{method 'write' of '_io.TextIOWrapper' objects}
12214,0.002,0.000,0.002,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
