ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
134354,0.009,0.000,0.009,0.000,{method 'copy' of 'list' objects}
15527066,0.433,0.000,0.433,0.000,{method 'append' of 'list' objects}
12214,0.004,0.000,0.012,0.000,{method 'extend' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
317567,0.019,0.000,0.019,0.000,{method 'get' of 'dict' objects}
97718,0.006,0.000,0.006,0.000,{method 'pop' of 'dict' objects}
146568,0.008,0.000,0.008,0.000,{method 'keys' of 'dict' objects}
2210734,0.109,0.000,0.109,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
12214,0.001,0.000,0.001,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
12214,0.002,0.000,0.002,0.000,{built-in method __new__ of type object at 0x1032b27b0}
5419968,0.421,0.000,0.421,0.000,{method 'split' of 'str' objects}
2894718,0.149,0.000,0.149,0.000,{method 'lower' of 'str' objects}
5688727,0.264,0.000,0.264,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
8/5,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
4592603,0.305,0.000,0.312,0.000,{built-in method builtins.isinstance}
12216,0.002,0.000,0.002,0.000,{built-in method builtins.iter}
5200116,0.149,0.000,0.149,0.000,{built-in method builtins.len}
24429,0.004,0.000,6.105,0.000,{built-in method builtins.next}
4348184,0.727,0.000,0.727,0.000,{method 'sub' of 're.Pattern' objects}
12214,0.004,0.000,0.004,0.000,{method 'split' of 're.Pattern' objects}
12350,0.008,0.000,0.008,0.000,{built-in method _codecs.utf_8_decode}
24428,0.004,0.000,0.004,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
12350,0.005,0.000,0.012,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
24428,0.004,0.000,0.008,0.000,abc.py:96(__instancecheck__)
1,0.001,0.001,11.207,11.207,profiling.py:11(read_data)
1,0.014,0.014,11.221,11.221,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
4348184,0.735,0.000,2.476,0.000,re.py:203(sub)
12214,0.004,0.000,0.011,0.000,re.py:223(split)
4360398,0.729,0.000,1.017,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
