ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
15,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
133375,0.009,0.000,0.009,0.000,{method 'copy' of 'list' objects}
10351436,0.383,0.000,0.383,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
254635,0.017,0.000,0.017,0.000,{method 'get' of 'dict' objects}
84875,0.006,0.000,0.006,0.000,{method 'pop' of 'dict' objects}
157625,0.009,0.000,0.009,0.000,{method 'keys' of 'dict' objects}
1697501,0.071,0.000,0.071,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{built-in method fromkeys}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
10534203,0.879,0.000,0.879,0.000,{method 'split' of 'str' objects}
12125,0.002,0.000,0.002,0.000,{method 'find' of 'str' objects}
2584529,0.139,0.000,0.139,0.000,{method 'lower' of 'str' objects}
5175688,0.224,0.000,0.224,0.000,{method 'lstrip' of 'str' objects}
36375,0.006,0.000,0.006,0.000,{method 'rfind' of 'str' objects}
10558639,0.544,0.000,0.544,0.000,{method 'rstrip' of 'str' objects}
10546328,0.408,0.000,0.408,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
36375,0.003,0.000,0.003,0.000,{built-in method builtins.hasattr}
8692094,0.643,0.000,0.656,0.000,{built-in method builtins.isinstance}
5395123/5395120,0.217,0.000,0.217,0.000,{built-in method builtins.len}
7,0.000,0.000,0.000,0.000,{built-in method builtins.min}
24250,0.005,0.000,0.008,0.000,{built-in method builtins.next}
4,0.000,0.000,0.000,0.000,{built-in method builtins.ord}
12125,0.001,0.000,0.001,0.000,{built-in method sys._getframe}
12125,0.001,0.000,0.001,0.000,{built-in method posix.getpid}
36375,0.002,0.000,0.002,0.000,{built-in method posix.fspath}
1,0.000,0.000,0.000,0.000,{built-in method _sre.compile}
3346500,0.590,0.000,0.590,0.000,{method 'sub' of 're.Pattern' objects}
5175688,0.736,0.000,0.736,0.000,{method 'findall' of 're.Pattern' objects}
12241,0.015,0.000,0.015,0.000,{built-in method _codecs.utf_8_decode}
36375,0.006,0.000,0.006,0.000,{built-in method _abc._abc_instancecheck}
49/1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_subclasscheck}
12125,0.003,0.000,0.003,0.000,{built-in method time.time}
12125,0.008,0.000,0.008,0.000,{built-in method time.localtime}
12125,0.016,0.000,0.016,0.000,{built-in method time.strftime}
24250,0.002,0.000,0.002,0.000,{built-in method _thread.get_ident}
24261,0.003,0.000,0.003,0.000,{method 'acquire' of '_thread.RLock' objects}
24261,0.002,0.000,0.002,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
12125,0.123,0.000,0.123,0.000,{method 'write' of '_io.TextIOWrapper' objects}
12125,0.002,0.000,0.002,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
