ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
133375,0.009,0.000,0.009,0.000,{method 'copy' of 'list' objects}
10351378,0.381,0.000,0.381,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
230377,0.015,0.000,0.015,0.000,{method 'get' of 'dict' objects}
84875,0.005,0.000,0.005,0.000,{method 'pop' of 'dict' objects}
157625,0.009,0.000,0.009,0.000,{method 'keys' of 'dict' objects}
1697500,0.108,0.000,0.108,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
10534203,0.869,0.000,0.869,0.000,{method 'split' of 'str' objects}
2584529,0.138,0.000,0.138,0.000,{method 'lower' of 'str' objects}
5175688,0.224,0.000,0.224,0.000,{method 'lstrip' of 'str' objects}
10558639,0.542,0.000,0.542,0.000,{method 'rstrip' of 'str' objects}
10546328,0.407,0.000,0.407,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
8655700,0.621,0.000,0.628,0.000,{built-in method builtins.isinstance}
5382951,0.216,0.000,0.216,0.000,{built-in method builtins.len}
24250,0.004,0.000,0.007,0.000,{built-in method builtins.next}
3346500,0.584,0.000,0.584,0.000,{method 'sub' of 're.Pattern' objects}
5175688,0.730,0.000,0.730,0.000,{method 'findall' of 're.Pattern' objects}
12241,0.008,0.000,0.008,0.000,{built-in method _codecs.utf_8_decode}
24250,0.004,0.000,0.004,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
12241,0.005,0.000,0.013,0.000,codecs.py:319(decode)
24250,0.004,0.000,0.008,0.000,abc.py:96(__instancecheck__)
1,0.001,0.001,22.546,22.546,profiling.py:11(read_data)
1,0.013,0.013,22.559,22.559,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
3346500,0.582,0.000,1.950,0.000,re.py:203(sub)
5175688,1.032,0.000,3.075,0.000,re.py:233(findall)
8522188,1.487,0.000,2.097,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
12125,0.018,0.000,4.115,0.000,Spectrum.py:71(__init__)
12125,0.037,0.000,2.672,0.000,Spectrum.py:101(_apply_metadata_harmonization)
1,0.000,0.000,0.000,0.000,{method 'argsort' of 'numpy.ndarray' objects}
24250,0.014,0.000,0.014,0.000,{method 'copy' of 'numpy.ndarray' objects}
24250,0.336,0.000,0.336,0.000,{built-in method numpy.array}
24251,0.007,0.000,0.062,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
24250,0.022,0.000,0.022,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1,0.000,0.000,0.000,0.000,fromnumeric.py:51(_wrapfunc)
24250,0.005,0.000,0.005,0.000,fromnumeric.py:70(<dictcomp>)
24250,0.016,0.000,0.044,0.000,fromnumeric.py:69(_wrapreduction)
1,0.000,0.000,0.000,0.000,fromnumeric.py:1008(_argsort_dispatcher)
1,0.000,0.000,0.000,0.000,fromnumeric.py:1012(argsort)
24250,0.002,0.000,0.002,0.000,fromnumeric.py:2399(_all_dispatcher)
24250,0.011,0.000,0.055,0.000,fromnumeric.py:2404(all)
1,0.000,0.000,0.000,0.000,<__array_function__ internals>:177(argsort)
24250,0.009,0.000,0.073,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
12125,0.004,0.000,0.394,0.000,Spectrum.py:175(get)
24250,0.012,0.000,1.576,0.000,Spectrum.py:204(metadata)
12125,0.001,0.000,0.001,0.000,Spectrum.py:216(losses)
12125,0.005,0.000,0.400,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
11,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
11,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
