ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
133375,0.009,0.000,0.009,0.000,{method 'copy' of 'list' objects}
10351378,0.387,0.000,0.387,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
254627,0.018,0.000,0.018,0.000,{method 'get' of 'dict' objects}
84875,0.006,0.000,0.006,0.000,{method 'pop' of 'dict' objects}
157625,0.009,0.000,0.009,0.000,{method 'keys' of 'dict' objects}
1697500,0.072,0.000,0.072,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
10534203,0.877,0.000,0.877,0.000,{method 'split' of 'str' objects}
12125,0.002,0.000,0.002,0.000,{method 'find' of 'str' objects}
2584529,0.141,0.000,0.141,0.000,{method 'lower' of 'str' objects}
5175688,0.225,0.000,0.225,0.000,{method 'lstrip' of 'str' objects}
36375,0.006,0.000,0.006,0.000,{method 'rfind' of 'str' objects}
10558639,0.545,0.000,0.545,0.000,{method 'rstrip' of 'str' objects}
10546328,0.409,0.000,0.409,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
36375,0.003,0.000,0.003,0.000,{built-in method builtins.hasattr}
8692075,0.630,0.000,0.643,0.000,{built-in method builtins.isinstance}
5395076,0.219,0.000,0.219,0.000,{built-in method builtins.len}
24250,0.005,0.000,0.008,0.000,{built-in method builtins.next}
12125,0.001,0.000,0.001,0.000,{built-in method sys._getframe}
12125,0.001,0.000,0.001,0.000,{built-in method posix.getpid}
36375,0.002,0.000,0.002,0.000,{built-in method posix.fspath}
3346500,0.589,0.000,0.589,0.000,{method 'sub' of 're.Pattern' objects}
5175688,0.737,0.000,0.737,0.000,{method 'findall' of 're.Pattern' objects}
12241,0.008,0.000,0.008,0.000,{built-in method _codecs.utf_8_decode}
36375,0.006,0.000,0.006,0.000,{built-in method _abc._abc_instancecheck}
12125,0.003,0.000,0.003,0.000,{built-in method time.time}
12125,0.009,0.000,0.009,0.000,{built-in method time.localtime}
12125,0.016,0.000,0.016,0.000,{built-in method time.strftime}
24250,0.002,0.000,0.002,0.000,{built-in method _thread.get_ident}
24261,0.003,0.000,0.003,0.000,{method 'acquire' of '_thread.RLock' objects}
24261,0.002,0.000,0.002,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
12125,0.101,0.000,0.101,0.000,{method 'write' of '_io.TextIOWrapper' objects}
12125,0.002,0.000,0.002,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
12241,0.006,0.000,0.015,0.000,codecs.py:319(decode)
36375,0.006,0.000,0.013,0.000,abc.py:96(__instancecheck__)
1,0.001,0.001,23.225,23.225,profiling.py:11(read_data)
1,0.018,0.018,23.243,23.243,profiling.py:22(main)
12125,0.002,0.000,0.002,0.000,posixpath.py:41(_get_sep)
12125,0.002,0.000,0.003,0.000,posixpath.py:52(normcase)
12125,0.006,0.000,0.018,0.000,posixpath.py:117(splitext)
12125,0.007,0.000,0.013,0.000,posixpath.py:140(basename)
12125,0.007,0.000,0.010,0.000,genericpath.py:121(_splitext)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
3346500,0.595,0.000,1.977,0.000,re.py:203(sub)
5175688,1.045,0.000,3.107,0.000,re.py:233(findall)
8522188,1.504,0.000,2.119,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
12125,0.020,0.000,4.568,0.000,Spectrum.py:71(__init__)
12125,0.041,0.000,3.096,0.000,Spectrum.py:101(_apply_metadata_harmonization)
1,0.000,0.000,0.000,0.000,{method 'argsort' of 'numpy.ndarray' objects}
24250,0.015,0.000,0.015,0.000,{method 'copy' of 'numpy.ndarray' objects}
24250,0.340,0.000,0.340,0.000,{built-in method numpy.array}
24251,0.007,0.000,0.069,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
24250,0.026,0.000,0.026,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1,0.000,0.000,0.000,0.000,fromnumeric.py:51(_wrapfunc)
24250,0.006,0.000,0.006,0.000,fromnumeric.py:70(<dictcomp>)
