ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
1402572,0.085,0.000,0.085,0.000,{method 'copy' of 'list' objects}
120134069,4.156,0.000,4.156,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
2103861,0.123,0.000,0.123,0.000,{method 'get' of 'dict' objects}
6,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
1402572,0.083,0.000,0.083,0.000,{method 'keys' of 'dict' objects}
11509575,2.834,0.000,2.834,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.020,0.000,0.020,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.704,0.000,3.704,0.000,{method 'split' of 'str' objects}
17429410,0.950,0.000,0.950,0.000,{method 'lower' of 'str' objects}
48068383,2.494,0.000,2.494,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
22668646,1.621,0.000,1.729,0.000,{built-in method builtins.isinstance}
350645,0.037,0.000,0.037,0.000,{built-in method builtins.iter}
40044689,1.388,0.000,1.388,0.000,{built-in method builtins.len}
350644,0.049,0.000,52.678,0.000,{built-in method builtins.next}
20915292,3.539,0.000,3.539,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.071,0.000,0.071,0.000,{built-in method _codecs.utf_8_decode}
350643,0.052,0.000,0.052,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
69029,0.032,0.000,0.102,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
350643,0.056,0.000,0.108,0.000,abc.py:96(__instancecheck__)
1,0.028,0.028,84.309,84.309,profiling.py:11(read_data)
1,0.397,0.397,84.706,84.706,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
20915292,3.744,0.000,12.428,0.000,re.py:203(sub)
20915292,3.687,0.000,5.145,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.367,0.000,29.926,0.000,Spectrum.py:71(__init__)
701286,0.128,0.000,0.128,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.386,0.000,1.104,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.061,0.000,0.061,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.272,0.000,1.376,0.000,fromnumeric.py:2404(all)
701286,0.205,0.000,0.205,0.000,{method 'copy' of 'numpy.ndarray' objects}
1051929,4.068,0.000,4.068,0.000,{built-in method numpy.array}
701286,0.180,0.000,1.556,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.550,0.000,0.550,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.215,0.000,1.832,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.098,0.000,10.250,0.000,Spectrum.py:175(get)
350643,0.042,0.000,0.042,0.000,Spectrum.py:216(losses)
350643,0.128,0.000,10.399,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
1,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
350643,0.273,0.000,1.912,0.000,Fragments.py:35(__init__)
350643,0.405,0.000,1.612,0.000,Fragments.py:60(_is_sorted)
701286,0.126,0.000,0.331,0.000,Fragments.py:66(mz)
350643,0.246,0.000,17.206,0.000,Metadata.py:42(__init__)
350643,0.141,0.000,14.958,0.000,Metadata.py:78(harmonize_metadata)
350643,0.150,0.000,10.153,0.000,Metadata.py:92(get)
701286,0.516,0.000,11.662,0.000,PickyDict.py:82(__init__)
350643,0.127,0.000,9.977,0.000,PickyDict.py:110(copy)
13943528,7.228,0.000,23.198,0.000,PickyDict.py:152(_harmonize_key)
1402572,2.427,0.000,25.793,0.000,PickyDict.py:163(_apply_replacements)
350643,0.086,0.000,7.299,0.000,PickyDict.py:196(key_replacements)
350643,0.084,0.000,7.517,0.000,PickyDict.py:205(key_regex_replacements)
1051929,0.172,0.000,4.240,0.000,mgf.py:82(<lambda>)
1,0.000,0.000,0.000,0.000,mgf.py:142(<dictcomp>)
1,0.000,0.000,0.000,0.000,mgf.py:95(__init__)
350643,0.045,0.000,0.045,0.000,mgf.py:160(header)
1,0.000,0.000,0.000,0.000,mgf.py:166(_read_header_lines)
350643,35.376,0.000,51.882,0.000,mgf.py:180(_read_spectrum_lines)
1,0.000,0.000,0.000,0.000,mgf.py:362(__init__)
1,0.000,0.000,0.000,0.000,mgf.py:369(_read_header)
350643,0.489,0.000,52.371,0.000,mgf.py:373(_read_spectrum)
350644,0.205,0.000,52.628,0.000,mgf.py:376(_read)
1,0.000,0.000,0.000,0.000,file_helpers.py:173(__iter__)
350644,0.068,0.000,52.745,0.000,file_helpers.py:176(__next__)
1,0.000,0.000,0.000,0.000,file_helpers.py:192(__init__)
1,0.000,0.000,0.000,0.000,file_helpers.py:201(reset)
4,0.000,0.000,0.000,0.000,file_helpers.py:219(__getattr__)
1,0.000,0.000,0.000,0.000,file_helpers.py:79(wrapped)
1,0.000,0.000,0.000,0.000,file_helpers.py:94(__init__)
3,0.000,0.000,0.000,0.000,file_helpers.py:128(__getattr__)
350645,0.059,0.000,0.095,0.000,file_helpers.py:131(__iter__)
1,0.000,0.000,0.000,0.000,file_helpers.py:136(__init__)
1,0.000,0.000,0.000,0.000,file_helpers.py:141(__init__)
350644,0.633,0.000,84.281,0.000,load_from_mgf.py:7(load_from_mgf)
1,0.000,0.000,0.000,0.000,logging_functions.py:49(_init_logger)
1,0.000,0.000,0.000,0.000,logging_functions.py:60(set_matchms_logger_level)
1,0.000,0.000,0.000,0.000,logging_functions.py:110(reset_matchms_logger)


