ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
1402572,0.087,0.000,0.087,0.000,{method 'copy' of 'list' objects}
120134069,3.940,0.000,3.940,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
2103861,0.120,0.000,0.120,0.000,{method 'get' of 'dict' objects}
6,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
1402572,0.083,0.000,0.083,0.000,{method 'keys' of 'dict' objects}
11509575,3.421,0.000,3.421,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.021,0.000,0.021,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.601,0.000,3.601,0.000,{method 'split' of 'str' objects}
17429410,0.959,0.000,0.959,0.000,{method 'lower' of 'str' objects}
48068383,2.429,0.000,2.429,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
22668646,1.621,0.000,1.729,0.000,{built-in method builtins.isinstance}
350645,0.036,0.000,0.036,0.000,{built-in method builtins.iter}
40044689,1.253,0.000,1.253,0.000,{built-in method builtins.len}
350644,0.048,0.000,51.917,0.000,{built-in method builtins.next}
20915292,3.535,0.000,3.535,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.075,0.000,0.075,0.000,{built-in method _codecs.utf_8_decode}
350643,0.051,0.000,0.051,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
69029,0.031,0.000,0.106,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
350643,0.056,0.000,0.108,0.000,abc.py:96(__instancecheck__)
1,0.029,0.029,84.123,84.123,profiling.py:11(read_data)
1,0.382,0.382,84.505,84.505,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
20915292,3.742,0.000,12.417,0.000,re.py:203(sub)
20915292,3.683,0.000,5.140,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.370,0.000,30.494,0.000,Spectrum.py:71(__init__)
701286,0.127,0.000,0.127,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.384,0.000,1.107,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.060,0.000,0.060,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.270,0.000,1.377,0.000,fromnumeric.py:2404(all)
701286,0.206,0.000,0.206,0.000,{method 'copy' of 'numpy.ndarray' objects}
1051929,4.078,0.000,4.078,0.000,{built-in method numpy.array}
701286,0.184,0.000,1.561,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.556,0.000,0.556,0.000,{method 'reduce' of 'numpy.ufunc' objects}
