ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.189,0.000,0.189,0.000,{method 'copy' of 'list' objects}
120134069,4.012,0.000,4.012,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5259648,0.345,0.000,0.345,0.000,{method 'get' of 'dict' objects}
350649,0.026,0.000,0.026,0.000,{method 'pop' of 'dict' objects}
3836525,0.210,0.000,0.210,0.000,{method 'keys' of 'dict' objects}
25783198,3.837,0.000,3.837,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.020,0.000,0.020,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.607,0.000,3.607,0.000,{method 'split' of 'str' objects}
350643,0.048,0.000,0.048,0.000,{method 'find' of 'str' objects}
38159770,2.033,0.000,2.033,0.000,{method 'lower' of 'str' objects}
1051929,0.153,0.000,0.153,0.000,{method 'rfind' of 'str' objects}
48068383,2.453,0.000,2.453,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1051930,0.095,0.000,0.095,0.000,{built-in method builtins.hasattr}
53629297,3.821,0.000,4.052,0.000,{built-in method builtins.isinstance}
350645,0.043,0.000,0.043,0.000,{built-in method builtins.iter}
40044689,1.276,0.000,1.276,0.000,{built-in method builtins.len}
1031382,0.204,0.000,52.607,0.000,{built-in method builtins.next}
350643,0.027,0.000,0.027,0.000,{built-in method sys._getframe}
350643,0.026,0.000,0.026,0.000,{built-in method posix.getpid}
1051929,0.057,0.000,0.057,0.000,{built-in method posix.fspath}
49462538,8.214,0.000,8.214,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.070,0.000,0.070,0.000,{built-in method _codecs.utf_8_decode}
701286,0.110,0.000,0.110,0.000,{built-in method _abc._abc_instancecheck}
350643,0.067,0.000,0.067,0.000,{built-in method time.time}
350643,0.216,0.000,0.216,0.000,{built-in method time.localtime}
350643,0.420,0.000,0.420,0.000,{built-in method time.strftime}
701286,0.049,0.000,0.049,0.000,{built-in method _thread.get_ident}
701297,0.096,0.000,0.096,0.000,{method 'acquire' of '_thread.RLock' objects}
701297,0.049,0.000,0.049,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
350643,2.224,0.000,2.224,0.000,{method 'write' of '_io.TextIOWrapper' objects}
350643,0.052,0.000,0.052,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
69029,0.043,0.000,0.113,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
701286,0.121,0.000,0.231,0.000,abc.py:96(__instancecheck__)
1,0.035,0.035,131.294,131.294,profiling.py:11(read_data)
1,0.391,0.391,131.685,131.685,profiling.py:22(main)
350643,0.047,0.000,0.069,0.000,posixpath.py:41(_get_sep)
350643,0.063,0.000,0.087,0.000,posixpath.py:52(normcase)
350643,0.166,0.000,0.470,0.000,posixpath.py:117(splitext)
350643,0.188,0.000,0.341,0.000,posixpath.py:140(basename)
350643,0.182,0.000,0.268,0.000,genericpath.py:121(_splitext)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
49462538,8.826,0.000,29.027,0.000,re.py:203(sub)
49462538,8.555,0.000,11.988,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.495,0.000,77.096,0.000,Spectrum.py:71(__init__)
350643,0.797,0.000,49.171,0.000,Spectrum.py:101(_apply_metadata_harmonization)
701286,0.258,0.000,0.258,0.000,{method 'copy' of 'numpy.ndarray' objects}
1051929,4.222,0.000,4.222,0.000,{built-in method numpy.array}
701286,0.192,0.000,1.720,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.637,0.000,0.637,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.143,0.000,0.143,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.414,0.000,1.229,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.066,0.000,0.066,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.299,0.000,1.528,0.000,fromnumeric.py:2404(all)
701286,0.242,0.000,2.028,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.051,0.000,0.051,0.000,threading.py:1031(name)
350643,0.069,0.000,0.092,0.000,threading.py:1306(current_thread)
350643,0.108,0.000,7.856,0.000,Spectrum.py:175(get)
350643,0.165,0.000,17.774,0.000,Spectrum.py:204(metadata)
350643,0.046,0.000,0.046,0.000,Spectrum.py:216(losses)
