ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.195,0.000,0.195,0.000,{method 'copy' of 'list' objects}
120134069,4.151,0.000,4.151,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5259648,0.355,0.000,0.355,0.000,{method 'get' of 'dict' objects}
350649,0.029,0.000,0.029,0.000,{method 'pop' of 'dict' objects}
3836525,0.213,0.000,0.213,0.000,{method 'keys' of 'dict' objects}
25783198,3.373,0.000,3.373,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.025,0.000,0.025,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.664,0.000,3.664,0.000,{method 'split' of 'str' objects}
350643,0.050,0.000,0.050,0.000,{method 'find' of 'str' objects}
38159770,2.051,0.000,2.051,0.000,{method 'lower' of 'str' objects}
1051929,0.159,0.000,0.159,0.000,{method 'rfind' of 'str' objects}
48068383,2.478,0.000,2.478,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1051930,0.098,0.000,0.098,0.000,{built-in method builtins.hasattr}
53629297,3.885,0.000,4.125,0.000,{built-in method builtins.isinstance}
350645,0.049,0.000,0.049,0.000,{built-in method builtins.iter}
40044689,1.287,0.000,1.287,0.000,{built-in method builtins.len}
1031382,0.208,0.000,53.799,0.000,{built-in method builtins.next}
350643,0.030,0.000,0.030,0.000,{built-in method sys._getframe}
350643,0.028,0.000,0.028,0.000,{built-in method posix.getpid}
1051929,0.061,0.000,0.061,0.000,{built-in method posix.fspath}
49462538,8.362,0.000,8.362,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.074,0.000,0.074,0.000,{built-in method _codecs.utf_8_decode}
701286,0.117,0.000,0.117,0.000,{built-in method _abc._abc_instancecheck}
350643,0.051,0.000,0.051,0.000,{built-in method time.time}
350643,0.236,0.000,0.236,0.000,{built-in method time.localtime}
350643,0.471,0.000,0.471,0.000,{built-in method time.strftime}
701286,0.050,0.000,0.050,0.000,{built-in method _thread.get_ident}
701297,0.102,0.000,0.102,0.000,{method 'acquire' of '_thread.RLock' objects}
701297,0.050,0.000,0.050,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
350643,2.044,0.000,2.044,0.000,{method 'write' of '_io.TextIOWrapper' objects}
350643,0.053,0.000,0.053,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
69029,0.047,0.000,0.121,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
701286,0.123,0.000,0.240,0.000,abc.py:96(__instancecheck__)
1,0.037,0.037,134.005,134.005,profiling.py:11(read_data)
1,0.508,0.508,134.513,134.513,profiling.py:22(main)
350643,0.049,0.000,0.072,0.000,posixpath.py:41(_get_sep)
350643,0.065,0.000,0.091,0.000,posixpath.py:52(normcase)
350643,0.174,0.000,0.485,0.000,posixpath.py:117(splitext)
350643,0.193,0.000,0.355,0.000,posixpath.py:140(basename)
350643,0.187,0.000,0.274,0.000,genericpath.py:121(_splitext)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
49462538,8.995,0.000,29.577,0.000,re.py:203(sub)
49462538,8.739,0.000,12.221,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.515,0.000,78.508,0.000,Spectrum.py:71(__init__)
350643,0.844,0.000,49.925,0.000,Spectrum.py:101(_apply_metadata_harmonization)
701286,0.280,0.000,0.280,0.000,{method 'copy' of 'numpy.ndarray' objects}
1051929,4.303,0.000,4.303,0.000,{built-in method numpy.array}
701286,0.197,0.000,1.808,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.686,0.000,0.686,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.148,0.000,0.148,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.434,0.000,1.303,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.068,0.000,0.068,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.309,0.000,1.611,0.000,fromnumeric.py:2404(all)
701286,0.250,0.000,2.126,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.052,0.000,0.052,0.000,threading.py:1031(name)
350643,0.071,0.000,0.095,0.000,threading.py:1306(current_thread)
350643,0.112,0.000,8.041,0.000,Spectrum.py:175(get)
350643,0.171,0.000,17.697,0.000,Spectrum.py:204(metadata)
350643,0.047,0.000,0.047,0.000,Spectrum.py:216(losses)
350643,0.145,0.000,8.206,0.000,Spectrum.py:224(peaks)
350644,0.072,0.000,0.095,0.000,__init__.py:119(getLevelName)
350643,0.077,0.000,0.107,0.000,__init__.py:160(<lambda>)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
11,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
11,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
350643,1.280,0.000,2.585,0.000,__init__.py:288(__init__)
350643,0.086,0.000,0.086,0.000,__init__.py:364(getMessage)
350643,0.094,0.000,0.144,0.000,__init__.py:427(usesTime)
350643,0.233,0.000,0.233,0.000,__init__.py:435(_format)
350643,0.078,0.000,0.310,0.000,__init__.py:438(format)
350643,0.268,0.000,0.974,0.000,__init__.py:588(formatTime)
350643,0.089,0.000,0.232,0.000,__init__.py:633(usesTime)
350643,0.099,0.000,0.409,0.000,__init__.py:639(formatMessage)
350643,0.349,0.000,2.051,0.000,__init__.py:655(format)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
701286,0.087,0.000,0.087,0.000,__init__.py:796(filter)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
701286,0.167,0.000,0.269,0.000,__init__.py:898(acquire)
701286,0.138,0.000,0.188,0.000,__init__.py:905(release)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
350643,0.111,0.000,2.162,0.000,__init__.py:918(format)
350643,0.259,0.000,5.548,0.000,__init__.py:941(handle)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
350643,0.251,0.000,0.556,0.000,__init__.py:1062(flush)
350643,0.249,0.000,5.012,0.000,__init__.py:1073(emit)
2,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
350643,0.223,0.000,9.849,0.000,__init__.py:1448(warning)
350643,0.296,0.000,0.523,0.000,__init__.py:1514(findCaller)
350643,0.141,0.000,2.725,0.000,__init__.py:1550(makeRecord)
350643,0.282,0.000,9.559,0.000,__init__.py:1565(_log)
350643,0.170,0.000,6.028,0.000,__init__.py:1591(handle)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
350643,0.260,0.000,5.808,0.000,__init__.py:1645(callHandlers)
2,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
350644,0.068,0.000,0.068,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
350643,0.336,0.000,2.404,0.000,Fragments.py:35(__init__)
350643,0.542,0.000,2.041,0.000,Fragments.py:60(_is_sorted)
701286,0.139,0.000,0.420,0.000,Fragments.py:66(mz)
350643,0.072,0.000,0.072,0.000,utils.py:11(<genexpr>)
350643,0.114,0.000,0.268,0.000,utils.py:7(get_first_common_element)
330095,0.511,0.000,0.674,0.000,utils.py:24(<listcomp>)
330095,0.101,0.000,0.775,0.000,utils.py:14(get_common_keys)
660190,0.050,0.000,0.050,0.000,utils.py:36(<lambda>)
660190,0.127,0.000,0.127,0.000,utils.py:27(filter_none)
350643,0.039,0.000,0.039,0.000,add_precursor_mz.py:30(_convert_precursor_mz)
350643,0.564,0.000,10.844,0.000,add_precursor_mz.py:48(_add_precursor_mz_metadata)
330095,0.139,0.000,1.277,0.000,add_retention.py:15(safe_store_value)
