ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
1402572,0.094,0.000,0.094,0.000,{method 'copy' of 'list' objects}
80089380,3.278,0.000,3.278,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
2764050,0.182,0.000,0.182,0.000,{method 'get' of 'dict' objects}
1031381,0.073,0.000,0.073,0.000,{method 'pop' of 'dict' objects}
1402572,0.088,0.000,0.088,0.000,{method 'keys' of 'dict' objects}
11158932,2.243,0.000,2.243,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
83575260,7.010,0.000,7.010,0.000,{method 'split' of 'str' objects}
20915292,1.240,0.000,1.240,0.000,{method 'lower' of 'str' objects}
40044689,1.768,0.000,1.768,0.000,{method 'lstrip' of 'str' objects}
83925903,4.372,0.000,4.372,0.000,{method 'rstrip' of 'str' objects}
83575260,3.357,0.000,3.357,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
62362690,4.621,0.000,4.738,0.000,{built-in method builtins.isinstance}
43881214,1.821,0.000,1.821,0.000,{built-in method builtins.len}
20915292,3.620,0.000,3.620,0.000,{method 'sub' of 're.Pattern' objects}
40044689,4.424,0.000,4.424,0.000,{method 'findall' of 're.Pattern' objects}
62800,0.074,0.000,0.074,0.000,{built-in method _codecs.utf_8_decode}
350643,0.059,0.000,0.059,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
62800,0.034,0.000,0.107,0.000,codecs.py:319(decode)
350643,0.058,0.000,0.117,0.000,abc.py:96(__instancecheck__)
1,0.033,0.033,180.791,180.791,profiling.py:11(read_data)
1,0.403,0.403,181.194,181.194,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
20915292,3.957,0.000,12.704,0.000,re.py:203(sub)
40044689,8.229,0.000,22.939,0.000,re.py:233(findall)
60959981,10.936,0.000,15.414,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.382,0.000,32.628,0.000,Spectrum.py:71(__init__)
701286,0.269,0.000,0.269,0.000,{method 'copy' of 'numpy.ndarray' objects}
701286,2.749,0.000,2.749,0.000,{built-in method numpy.array}
701286,0.187,0.000,1.692,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.613,0.000,0.613,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.141,0.000,0.141,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.409,0.000,1.208,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.066,0.000,0.066,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.297,0.000,1.505,0.000,fromnumeric.py:2404(all)
701286,0.229,0.000,1.986,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.098,0.000,9.912,0.000,Spectrum.py:175(get)
350643,0.041,0.000,0.041,0.000,Spectrum.py:216(losses)
350643,0.127,0.000,10.061,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
