ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.200,0.000,0.200,0.000,{method 'copy' of 'list' objects}
80089380,3.327,0.000,3.327,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5218551,0.347,0.000,0.347,0.000,{method 'get' of 'dict' objects}
1382024,0.094,0.000,0.094,0.000,{method 'pop' of 'dict' objects}
3836525,0.212,0.000,0.212,0.000,{method 'keys' of 'dict' objects}
25432555,2.403,0.000,2.403,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
83575260,7.073,0.000,7.073,0.000,{method 'split' of 'str' objects}
41645652,2.338,0.000,2.338,0.000,{method 'lower' of 'str' objects}
40044689,1.785,0.000,1.785,0.000,{method 'lstrip' of 'str' objects}
83925903,4.416,0.000,4.416,0.000,{method 'rstrip' of 'str' objects}
83575260,3.391,0.000,3.391,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
92622055,6.706,0.000,6.931,0.000,{built-in method builtins.isinstance}
43881214,1.835,0.000,1.835,0.000,{built-in method builtins.len}
680738,0.138,0.000,0.232,0.000,{built-in method builtins.next}
49462538,8.330,0.000,8.330,0.000,{method 'sub' of 're.Pattern' objects}
40044689,4.448,0.000,4.448,0.000,{method 'findall' of 're.Pattern' objects}
62800,0.077,0.000,0.077,0.000,{built-in method _codecs.utf_8_decode}
701286,0.112,0.000,0.112,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
62800,0.037,0.000,0.114,0.000,codecs.py:319(decode)
701286,0.114,0.000,0.225,0.000,abc.py:96(__instancecheck__)
1,0.031,0.031,218.079,218.079,profiling.py:11(read_data)
1,0.537,0.537,218.617,218.617,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
49462538,8.981,0.000,29.162,0.000,re.py:203(sub)
40044689,8.225,0.000,22.992,0.000,re.py:233(findall)
89507227,15.765,0.000,22.170,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.519,0.000,68.958,0.000,Spectrum.py:71(__init__)
350643,0.783,0.000,38.306,0.000,Spectrum.py:101(_apply_metadata_harmonization)
701286,0.282,0.000,0.282,0.000,{method 'copy' of 'numpy.ndarray' objects}
