ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.202,0.000,0.202,0.000,{method 'copy' of 'list' objects}
80089380,3.326,0.000,3.326,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5919837,0.405,0.000,0.405,0.000,{method 'get' of 'dict' objects}
1382024,0.101,0.000,0.101,0.000,{method 'pop' of 'dict' objects}
3836525,0.215,0.000,0.215,0.000,{method 'keys' of 'dict' objects}
25432555,1.155,0.000,1.155,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
83575260,7.040,0.000,7.040,0.000,{method 'split' of 'str' objects}
350643,0.049,0.000,0.049,0.000,{method 'find' of 'str' objects}
41645652,2.316,0.000,2.316,0.000,{method 'lower' of 'str' objects}
40044689,1.803,0.000,1.803,0.000,{method 'lstrip' of 'str' objects}
1051929,0.162,0.000,0.162,0.000,{method 'rfind' of 'str' objects}
83925903,4.408,0.000,4.408,0.000,{method 'rstrip' of 'str' objects}
83575260,3.385,0.000,3.385,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1051929,0.096,0.000,0.096,0.000,{built-in method builtins.hasattr}
93323341,6.821,0.000,7.060,0.000,{built-in method builtins.isinstance}
43881214,1.843,0.000,1.843,0.000,{built-in method builtins.len}
680738,0.144,0.000,0.241,0.000,{built-in method builtins.next}
350643,0.030,0.000,0.030,0.000,{built-in method sys._getframe}
350643,0.025,0.000,0.025,0.000,{built-in method posix.getpid}
1051929,0.060,0.000,0.060,0.000,{built-in method posix.fspath}
49462538,8.434,0.000,8.434,0.000,{method 'sub' of 're.Pattern' objects}
40044689,4.465,0.000,4.465,0.000,{method 'findall' of 're.Pattern' objects}
62800,0.052,0.000,0.052,0.000,{built-in method _codecs.utf_8_decode}
701286,0.114,0.000,0.114,0.000,{built-in method _abc._abc_instancecheck}
350643,0.114,0.000,0.114,0.000,{built-in method time.time}
350643,0.216,0.000,0.216,0.000,{built-in method time.localtime}
350643,0.456,0.000,0.456,0.000,{built-in method time.strftime}
701286,0.051,0.000,0.051,0.000,{built-in method _thread.get_ident}
701297,0.101,0.000,0.101,0.000,{method 'acquire' of '_thread.RLock' objects}
701297,0.051,0.000,0.051,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
350643,2.067,0.000,2.067,0.000,{method 'write' of '_io.TextIOWrapper' objects}
350643,0.053,0.000,0.053,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
62800,0.040,0.000,0.092,0.000,codecs.py:319(decode)
701286,0.125,0.000,0.240,0.000,abc.py:96(__instancecheck__)
1,0.037,0.037,228.631,228.631,profiling.py:11(read_data)
1,0.421,0.421,229.052,229.052,profiling.py:22(main)
350643,0.050,0.000,0.071,0.000,posixpath.py:41(_get_sep)
350643,0.068,0.000,0.093,0.000,posixpath.py:52(normcase)
350643,0.174,0.000,0.498,0.000,posixpath.py:117(splitext)
350643,0.209,0.000,0.370,0.000,posixpath.py:140(basename)
350643,0.196,0.000,0.287,0.000,genericpath.py:121(_splitext)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
49462538,9.124,0.000,29.512,0.000,re.py:203(sub)
40044689,8.276,0.000,23.046,0.000,re.py:233(findall)
89507227,15.803,0.000,22.258,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.527,0.000,79.701,0.000,Spectrum.py:71(__init__)
350643,0.866,0.000,47.723,0.000,Spectrum.py:101(_apply_metadata_harmonization)
701286,0.289,0.000,0.289,0.000,{method 'copy' of 'numpy.ndarray' objects}
701286,2.750,0.000,2.750,0.000,{built-in method numpy.array}
701286,0.198,0.000,1.826,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.665,0.000,0.665,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.152,0.000,0.152,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.455,0.000,1.311,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.068,0.000,0.068,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.317,0.000,1.628,0.000,fromnumeric.py:2404(all)
701286,0.251,0.000,2.146,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.052,0.000,0.052,0.000,threading.py:1031(name)
350643,0.070,0.000,0.094,0.000,threading.py:1306(current_thread)
350643,0.116,0.000,7.977,0.000,Spectrum.py:175(get)
350643,0.173,0.000,15.454,0.000,Spectrum.py:204(metadata)
350643,0.047,0.000,0.047,0.000,Spectrum.py:216(losses)
350643,0.146,0.000,8.143,0.000,Spectrum.py:224(peaks)
350644,0.074,0.000,0.096,0.000,__init__.py:119(getLevelName)
350643,0.076,0.000,0.106,0.000,__init__.py:160(<lambda>)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
11,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
11,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
350643,1.286,0.000,2.681,0.000,__init__.py:288(__init__)
350643,0.084,0.000,0.084,0.000,__init__.py:364(getMessage)
350643,0.096,0.000,0.144,0.000,__init__.py:427(usesTime)
350643,0.256,0.000,0.256,0.000,__init__.py:435(_format)
350643,0.075,0.000,0.331,0.000,__init__.py:438(format)
350643,0.281,0.000,0.953,0.000,__init__.py:588(formatTime)
350643,0.089,0.000,0.233,0.000,__init__.py:633(usesTime)
350643,0.098,0.000,0.429,0.000,__init__.py:639(formatMessage)
350643,0.366,0.000,2.065,0.000,__init__.py:655(format)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
701286,0.087,0.000,0.087,0.000,__init__.py:796(filter)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
701286,0.170,0.000,0.271,0.000,__init__.py:898(acquire)
701286,0.138,0.000,0.189,0.000,__init__.py:905(release)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
350643,0.116,0.000,2.181,0.000,__init__.py:918(format)
350643,0.260,0.000,5.599,0.000,__init__.py:941(handle)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
