ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
1402572,0.092,0.000,0.092,0.000,{method 'copy' of 'list' objects}
80089380,3.270,0.000,3.270,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
2764050,0.181,0.000,0.181,0.000,{method 'get' of 'dict' objects}
1031381,0.070,0.000,0.070,0.000,{method 'pop' of 'dict' objects}
1402572,0.088,0.000,0.088,0.000,{method 'keys' of 'dict' objects}
11158932,1.372,0.000,1.372,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
83575260,7.005,0.000,7.005,0.000,{method 'split' of 'str' objects}
20915292,1.237,0.000,1.237,0.000,{method 'lower' of 'str' objects}
40044689,1.768,0.000,1.768,0.000,{method 'lstrip' of 'str' objects}
83925903,4.363,0.000,4.363,0.000,{method 'rstrip' of 'str' objects}
83575260,3.350,0.000,3.350,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
62362690,4.619,0.000,4.736,0.000,{built-in method builtins.isinstance}
43881214,1.810,0.000,1.810,0.000,{built-in method builtins.len}
20915292,3.605,0.000,3.605,0.000,{method 'sub' of 're.Pattern' objects}
40044689,4.418,0.000,4.418,0.000,{method 'findall' of 're.Pattern' objects}
62800,0.068,0.000,0.068,0.000,{built-in method _codecs.utf_8_decode}
350643,0.058,0.000,0.058,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
62800,0.033,0.000,0.101,0.000,codecs.py:319(decode)
350643,0.059,0.000,0.117,0.000,abc.py:96(__instancecheck__)
1,0.032,0.032,180.399,180.399,profiling.py:11(read_data)
1,0.566,0.566,180.966,180.966,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
20915292,3.958,0.000,12.692,0.000,re.py:203(sub)
40044689,8.303,0.000,23.028,0.000,re.py:233(findall)
60959981,10.956,0.000,15.436,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.383,0.000,31.863,0.000,Spectrum.py:71(__init__)
701286,0.261,0.000,0.261,0.000,{method 'copy' of 'numpy.ndarray' objects}
701286,2.747,0.000,2.747,0.000,{built-in method numpy.array}
701286,0.188,0.000,1.691,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.609,0.000,0.609,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.141,0.000,0.141,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.410,0.000,1.203,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.066,0.000,0.066,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.299,0.000,1.503,0.000,fromnumeric.py:2404(all)
701286,0.231,0.000,1.988,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.098,0.000,9.036,0.000,Spectrum.py:175(get)
350643,0.041,0.000,0.041,0.000,Spectrum.py:216(losses)
350643,0.127,0.000,9.184,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.001,0.000,0.001,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.001,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
1,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
350643,0.304,0.000,2.104,0.000,Fragments.py:35(__init__)
350643,0.436,0.000,1.771,0.000,Fragments.py:60(_is_sorted)
701286,0.130,0.000,0.392,0.000,Fragments.py:66(mz)
350643,0.265,0.000,20.151,0.000,Metadata.py:42(__init__)
350643,0.148,0.000,17.791,0.000,Metadata.py:78(harmonize_metadata)
350643,0.160,0.000,8.938,0.000,Metadata.py:92(get)
701286,0.585,0.000,10.508,0.000,PickyDict.py:82(__init__)
350643,0.135,0.000,8.755,0.000,PickyDict.py:110(copy)
13943528,8.970,0.000,23.822,0.000,PickyDict.py:152(_harmonize_key)
1402572,3.183,0.000,27.391,0.000,PickyDict.py:163(_apply_replacements)
350643,0.086,0.000,8.047,0.000,PickyDict.py:196(key_replacements)
350643,0.089,0.000,9.596,0.000,PickyDict.py:205(key_regex_replacements)
350644,0.637,0.000,180.367,0.001,load_from_msp.py:7(load_from_msp)
350644,48.294,0.000,146.802,0.000,load_from_msp.py:58(parse_msp_file)
40044689,16.817,0.000,24.042,0.000,load_from_msp.py:109(get_peak_values)
40044689,7.472,0.000,10.943,0.000,load_from_msp.py:120(<lambda>)
40044689,10.346,0.000,12.821,0.000,load_from_msp.py:117(get_peak_tuples)
40044689,11.449,0.000,34.477,0.000,load_from_msp.py:124(get_peak_comment)
3485882,1.641,0.000,2.703,0.000,load_from_msp.py:133(parse_metadata)
43530571,2.934,0.000,2.934,0.000,load_from_msp.py:148(contains_metadata)
1,0.000,0.000,0.001,0.001,logging_functions.py:49(_init_logger)
1,0.000,0.000,0.000,0.000,logging_functions.py:60(set_matchms_logger_level)
1,0.000,0.000,0.001,0.001,logging_functions.py:110(reset_matchms_logger)


