ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.202,0.000,0.202,0.000,{method 'copy' of 'list' objects}
80089380,3.317,0.000,3.317,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5218551,0.354,0.000,0.354,0.000,{method 'get' of 'dict' objects}
1382024,0.098,0.000,0.098,0.000,{method 'pop' of 'dict' objects}
3836525,0.214,0.000,0.214,0.000,{method 'keys' of 'dict' objects}
25432555,2.107,0.000,2.107,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
83575260,7.088,0.000,7.088,0.000,{method 'split' of 'str' objects}
41645652,2.327,0.000,2.327,0.000,{method 'lower' of 'str' objects}
40044689,1.754,0.000,1.754,0.000,{method 'lstrip' of 'str' objects}
83925903,4.372,0.000,4.372,0.000,{method 'rstrip' of 'str' objects}
83575260,3.362,0.000,3.362,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
92622055,6.804,0.000,7.026,0.000,{built-in method builtins.isinstance}
43881214,1.824,0.000,1.824,0.000,{built-in method builtins.len}
680738,0.138,0.000,0.232,0.000,{built-in method builtins.next}
49462538,8.321,0.000,8.321,0.000,{method 'sub' of 're.Pattern' objects}
40044689,4.455,0.000,4.455,0.000,{method 'findall' of 're.Pattern' objects}
62800,0.071,0.000,0.071,0.000,{built-in method _codecs.utf_8_decode}
701286,0.109,0.000,0.109,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
62800,0.035,0.000,0.107,0.000,codecs.py:319(decode)
701286,0.113,0.000,0.222,0.000,abc.py:96(__instancecheck__)
1,0.032,0.032,220.437,220.437,profiling.py:11(read_data)
1,0.448,0.448,220.886,220.886,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
49462538,9.075,0.000,29.221,0.000,re.py:203(sub)
40044689,8.484,0.000,23.471,0.000,re.py:233(findall)
89507227,15.857,0.000,22.357,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.516,0.000,69.185,0.000,Spectrum.py:71(__init__)
350643,0.774,0.000,38.029,0.000,Spectrum.py:101(_apply_metadata_harmonization)
701286,0.279,0.000,0.279,0.000,{method 'copy' of 'numpy.ndarray' objects}
701286,2.761,0.000,2.761,0.000,{built-in method numpy.array}
701286,0.203,0.000,1.759,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.607,0.000,0.607,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.145,0.000,0.145,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.445,0.000,1.236,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.068,0.000,0.068,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.320,0.000,1.556,0.000,fromnumeric.py:2404(all)
701286,0.252,0.000,2.079,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.106,0.000,7.934,0.000,Spectrum.py:175(get)
350643,0.173,0.000,16.473,0.000,Spectrum.py:204(metadata)
350643,0.044,0.000,0.044,0.000,Spectrum.py:216(losses)
350643,0.139,0.000,8.094,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
11,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
11,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
2,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
350643,0.082,0.000,0.149,0.000,__init__.py:1448(warning)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
2,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
350644,0.067,0.000,0.067,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
350643,0.317,0.000,2.229,0.000,Fragments.py:35(__init__)
350643,0.469,0.000,1.884,0.000,Fragments.py:60(_is_sorted)
701286,0.145,0.000,0.424,0.000,Fragments.py:66(mz)
350643,0.070,0.000,0.070,0.000,utils.py:11(<genexpr>)
350643,0.106,0.000,0.256,0.000,utils.py:7(get_first_common_element)
330095,0.469,0.000,0.629,0.000,utils.py:24(<listcomp>)
330095,0.091,0.000,0.720,0.000,utils.py:14(get_common_keys)
660190,0.052,0.000,0.052,0.000,utils.py:36(<lambda>)
660190,0.119,0.000,0.119,0.000,utils.py:27(filter_none)
350643,0.038,0.000,0.038,0.000,add_precursor_mz.py:30(_convert_precursor_mz)
350643,0.501,0.000,1.060,0.000,add_precursor_mz.py:48(_add_precursor_mz_metadata)
330095,0.129,0.000,1.107,0.000,add_retention.py:15(safe_store_value)
660190,0.179,0.000,0.217,0.000,add_retention.py:37(safe_convert_to_float)
330095,0.054,0.000,0.054,0.000,add_retention.py:80(<listcomp>)
330095,0.558,0.000,2.812,0.000,add_retention.py:63(_add_retention)
350643,0.080,0.000,0.107,0.000,interpret_pepmass.py:28(_interpret_pepmass_metadata)
350643,0.042,0.000,0.042,0.000,make_charge_int.py:23(_convert_charge_to_int)
701286,0.513,0.000,36.921,0.000,Metadata.py:42(__init__)
701286,0.304,0.000,32.455,0.000,Metadata.py:78(harmonize_metadata)
350643,0.163,0.000,7.828,0.000,Metadata.py:92(get)
350643,0.090,0.000,7.832,0.000,Metadata.py:126(data)
