ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.201,0.000,0.201,0.000,{method 'copy' of 'list' objects}
80089380,3.342,0.000,3.342,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5919837,0.416,0.000,0.416,0.000,{method 'get' of 'dict' objects}
1382024,0.103,0.000,0.103,0.000,{method 'pop' of 'dict' objects}
3836525,0.219,0.000,0.219,0.000,{method 'keys' of 'dict' objects}
25432555,3.359,0.000,3.359,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
83575260,7.110,0.000,7.110,0.000,{method 'split' of 'str' objects}
350643,0.049,0.000,0.049,0.000,{method 'find' of 'str' objects}
41645652,2.325,0.000,2.325,0.000,{method 'lower' of 'str' objects}
40044689,1.813,0.000,1.813,0.000,{method 'lstrip' of 'str' objects}
1051929,0.164,0.000,0.164,0.000,{method 'rfind' of 'str' objects}
83925903,4.468,0.000,4.468,0.000,{method 'rstrip' of 'str' objects}
83575260,3.397,0.000,3.397,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1051929,0.098,0.000,0.098,0.000,{built-in method builtins.hasattr}
93323341,6.848,0.000,7.090,0.000,{built-in method builtins.isinstance}
43881214,1.838,0.000,1.838,0.000,{built-in method builtins.len}
680738,0.146,0.000,0.243,0.000,{built-in method builtins.next}
350643,0.032,0.000,0.032,0.000,{built-in method sys._getframe}
350643,0.026,0.000,0.026,0.000,{built-in method posix.getpid}
1051929,0.062,0.000,0.062,0.000,{built-in method posix.fspath}
49462538,8.470,0.000,8.470,0.000,{method 'sub' of 're.Pattern' objects}
40044689,4.474,0.000,4.474,0.000,{method 'findall' of 're.Pattern' objects}
62800,0.058,0.000,0.058,0.000,{built-in method _codecs.utf_8_decode}
701286,0.116,0.000,0.116,0.000,{built-in method _abc._abc_instancecheck}
350643,0.096,0.000,0.096,0.000,{built-in method time.time}
350643,0.224,0.000,0.224,0.000,{built-in method time.localtime}
350643,0.472,0.000,0.472,0.000,{built-in method time.strftime}
701286,0.053,0.000,0.053,0.000,{built-in method _thread.get_ident}
701297,0.102,0.000,0.102,0.000,{method 'acquire' of '_thread.RLock' objects}
701297,0.051,0.000,0.051,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
350643,2.211,0.000,2.211,0.000,{method 'write' of '_io.TextIOWrapper' objects}
350643,0.055,0.000,0.055,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
62800,0.042,0.000,0.100,0.000,codecs.py:319(decode)
701286,0.126,0.000,0.242,0.000,abc.py:96(__instancecheck__)
1,0.037,0.037,230.571,230.571,profiling.py:11(read_data)
1,0.501,0.501,231.073,231.073,profiling.py:22(main)
350643,0.050,0.000,0.071,0.000,posixpath.py:41(_get_sep)
350643,0.065,0.000,0.091,0.000,posixpath.py:52(normcase)
350643,0.174,0.000,0.501,0.000,posixpath.py:117(splitext)
350643,0.209,0.000,0.372,0.000,posixpath.py:140(basename)
350643,0.198,0.000,0.289,0.000,genericpath.py:121(_splitext)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
49462538,9.133,0.000,29.604,0.000,re.py:203(sub)
40044689,8.342,0.000,23.186,0.000,re.py:233(findall)
89507227,15.894,0.000,22.371,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.529,0.000,80.360,0.000,Spectrum.py:71(__init__)
350643,0.861,0.000,50.273,0.000,Spectrum.py:101(_apply_metadata_harmonization)
701286,0.302,0.000,0.302,0.000,{method 'copy' of 'numpy.ndarray' objects}
701286,2.773,0.000,2.773,0.000,{built-in method numpy.array}
701286,0.199,0.000,1.851,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
