ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.383,0.000,0.383,0.000,{method 'copy' of 'list' objects}
90497195,3.158,0.000,3.158,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
9432283,0.616,0.000,0.616,0.000,{method 'get' of 'dict' objects}
725566,0.051,0.000,0.051,0.000,{method 'pop' of 'dict' objects}
7868279,0.422,0.000,0.422,0.000,{method 'keys' of 'dict' objects}
47699959,7.083,0.000,7.083,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.043,0.000,0.043,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.301,0.000,3.301,0.000,{method 'split' of 'str' objects}
69672124,3.748,0.000,3.748,0.000,{method 'lower' of 'str' objects}
45174012,2.457,0.000,2.457,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
98076535,6.883,0.000,7.320,0.000,{built-in method builtins.isinstance}
725562,0.081,0.000,0.081,0.000,{built-in method builtins.iter}
30165731,1.037,0.000,1.037,0.000,{built-in method builtins.len}
2063800,0.362,0.000,48.104,0.000,{built-in method builtins.next}
91046558,15.253,0.000,15.253,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.075,0.000,0.075,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.218,0.000,0.218,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
71448,0.047,0.000,0.122,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
1451120,0.219,0.000,0.437,0.000,abc.py:96(__instancecheck__)
1,0.069,0.069,176.629,176.629,profiling.py:11(read_data)
1,0.812,0.812,177.443,177.443,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
91046558,15.932,0.000,53.159,0.000,re.py:203(sub)
91046558,15.737,0.000,21.975,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,0.983,0.000,125.312,0.000,Spectrum.py:71(__init__)
725560,1.433,0.000,72.949,0.000,Spectrum.py:101(_apply_metadata_harmonization)
1451120,0.465,0.000,0.465,0.000,{method 'copy' of 'numpy.ndarray' objects}
2176680,3.601,0.000,3.601,0.000,{built-in method numpy.array}
1451120,0.404,0.000,3.379,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1451120,1.210,0.000,1.210,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1451120,0.276,0.000,0.276,0.000,fromnumeric.py:70(<dictcomp>)
1451120,0.813,0.000,2.369,0.000,fromnumeric.py:69(_wrapreduction)
1451120,0.131,0.000,0.131,0.000,fromnumeric.py:2399(_all_dispatcher)
1451120,0.606,0.000,2.975,0.000,fromnumeric.py:2404(all)
1451120,0.475,0.000,3.985,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
725560,0.207,0.000,14.717,0.000,Spectrum.py:175(get)
725560,0.336,0.000,33.356,0.000,Spectrum.py:204(metadata)
