ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
12,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
2,0.000,0.000,0.000,0.000,{method 'translate' of 'bytearray' objects}
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.405,0.000,0.405,0.000,{method 'copy' of 'list' objects}
90497239,3.289,0.000,3.289,0.000,{method 'append' of 'list' objects}
2,0.000,0.000,0.000,0.000,{method 'extend' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
10883404,0.741,0.000,0.741,0.000,{method 'get' of 'dict' objects}
725566,0.068,0.000,0.068,0.000,{method 'pop' of 'dict' objects}
7868279,0.447,0.000,0.447,0.000,{method 'keys' of 'dict' objects}
47699961,8.957,0.000,8.957,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{built-in method fromkeys}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.052,0.000,0.052,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.405,0.000,3.405,0.000,{method 'split' of 'str' objects}
725560,0.104,0.000,0.104,0.000,{method 'find' of 'str' objects}
69672124,3.854,0.000,3.854,0.000,{method 'lower' of 'str' objects}
2176680,0.338,0.000,0.338,0.000,{method 'rfind' of 'str' objects}
45174012,2.517,0.000,2.517,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
2176681,0.200,0.000,0.200,0.000,{built-in method builtins.hasattr}
99527669,7.253,0.000,7.801,0.000,{built-in method builtins.isinstance}
725562,0.112,0.000,0.112,0.000,{built-in method builtins.iter}
30165769/30165767,1.069,0.000,1.069,0.000,{built-in method builtins.len}
6,0.000,0.000,0.000,0.000,{built-in method builtins.min}
2063800,0.397,0.000,49.834,0.000,{built-in method builtins.next}
6,0.000,0.000,0.000,0.000,{built-in method builtins.ord}
725560,0.065,0.000,0.065,0.000,{built-in method sys._getframe}
725560,0.059,0.000,0.059,0.000,{built-in method posix.getpid}
2176680,0.131,0.000,0.131,0.000,{built-in method posix.fspath}
2,0.000,0.000,0.000,0.000,{built-in method _sre.compile}
91046558,15.820,0.000,15.820,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.095,0.000,0.095,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.292,0.000,0.292,0.000,{built-in method _abc._abc_instancecheck}
2/1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_subclasscheck}
725560,0.095,0.000,0.095,0.000,{built-in method time.time}
725560,0.505,0.000,0.505,0.000,{built-in method time.localtime}
725560,0.957,0.000,0.957,0.000,{built-in method time.strftime}
1451120,0.107,0.000,0.107,0.000,{built-in method _thread.get_ident}
1451131,0.213,0.000,0.213,0.000,{method 'acquire' of '_thread.RLock' objects}
1451131,0.106,0.000,0.106,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
725560,4.826,0.000,4.826,0.000,{method 'write' of '_io.TextIOWrapper' objects}
725560,0.107,0.000,0.107,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
71448,0.066,0.000,0.161,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
1451120,0.255,0.000,0.548,0.000,abc.py:96(__instancecheck__)
2/1,0.000,0.000,0.000,0.000,abc.py:100(__subclasscheck__)
1,0.088,0.088,207.258,207.258,profiling.py:11(read_data)
1,0.841,0.841,208.098,208.098,profiling.py:22(main)
725560,0.102,0.000,0.151,0.000,posixpath.py:41(_get_sep)
725560,0.144,0.000,0.199,0.000,posixpath.py:52(normcase)
725560,0.323,0.000,0.968,0.000,posixpath.py:117(splitext)
725560,0.394,0.000,0.738,0.000,posixpath.py:140(basename)
2,0.000,0.000,0.000,0.000,_collections_abc.py:392(__subclasshook__)
725560,0.380,0.000,0.565,0.000,genericpath.py:121(_splitext)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
91046558,16.572,0.000,55.095,0.000,re.py:203(sub)
91046558,16.280,0.000,22.703,0.000,re.py:289(_compile)
4,0.000,0.000,0.000,0.000,enum.py:313(__call__)
