ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
2902240,0.180,0.000,0.180,0.000,{method 'copy' of 'list' objects}
90497195,3.043,0.000,3.043,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
4353363,0.253,0.000,0.253,0.000,{method 'get' of 'dict' objects}
6,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
2902240,0.167,0.000,0.167,0.000,{method 'keys' of 'dict' objects}
21424080,4.471,0.000,4.471,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.042,0.000,0.042,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.233,0.000,3.233,0.000,{method 'split' of 'str' objects}
32079000,1.738,0.000,1.738,0.000,{method 'lower' of 'str' objects}
45174012,2.394,0.000,2.394,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
42122739,2.995,0.000,3.222,0.000,{built-in method builtins.isinstance}
725562,0.076,0.000,0.076,0.000,{built-in method builtins.iter}
30165731,1.010,0.000,1.010,0.000,{built-in method builtins.len}
725561,0.097,0.000,46.398,0.000,{built-in method builtins.next}
38494800,6.501,0.000,6.501,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.076,0.000,0.076,0.000,{built-in method _codecs.utf_8_decode}
725560,0.113,0.000,0.113,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
