ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
2902240,0.176,0.000,0.176,0.000,{method 'copy' of 'list' objects}
90497195,3.017,0.000,3.017,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
4353363,0.251,0.000,0.251,0.000,{method 'get' of 'dict' objects}
6,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
2902240,0.161,0.000,0.161,0.000,{method 'keys' of 'dict' objects}
21424080,5.144,0.000,5.144,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.041,0.000,0.041,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.220,0.000,3.220,0.000,{method 'split' of 'str' objects}
32079000,1.738,0.000,1.738,0.000,{method 'lower' of 'str' objects}
45174012,2.383,0.000,2.383,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
42122739,2.985,0.000,3.207,0.000,{built-in method builtins.isinstance}
725562,0.075,0.000,0.075,0.000,{built-in method builtins.iter}
30165731,1.010,0.000,1.010,0.000,{built-in method builtins.len}
725561,0.094,0.000,46.135,0.000,{built-in method builtins.next}
38494800,6.435,0.000,6.435,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.061,0.000,0.061,0.000,{built-in method _codecs.utf_8_decode}
725560,0.110,0.000,0.110,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
71448,0.037,0.000,0.098,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
725560,0.111,0.000,0.222,0.000,abc.py:96(__instancecheck__)
1,0.060,0.060,105.279,105.279,profiling.py:11(read_data)
1,0.718,0.718,105.998,105.998,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
38494800,6.870,0.000,22.743,0.000,re.py:203(sub)
38494800,6.776,0.000,9.438,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,0.727,0.000,55.764,0.000,Spectrum.py:71(__init__)
1451120,0.399,0.000,0.399,0.000,{method 'copy' of 'numpy.ndarray' objects}
2176680,3.494,0.000,3.494,0.000,{built-in method numpy.array}
1451120,0.376,0.000,3.173,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1451120,1.102,0.000,1.102,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1451120,0.264,0.000,0.264,0.000,fromnumeric.py:70(<dictcomp>)
1451120,0.781,0.000,2.225,0.000,fromnumeric.py:69(_wrapreduction)
1451120,0.126,0.000,0.126,0.000,fromnumeric.py:2399(_all_dispatcher)
1451120,0.572,0.000,2.797,0.000,fromnumeric.py:2404(all)
1451120,0.427,0.000,3.726,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
725560,0.195,0.000,19.043,0.000,Spectrum.py:175(get)
725560,0.081,0.000,0.081,0.000,Spectrum.py:216(losses)
725560,0.252,0.000,19.335,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
1,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
725560,0.565,0.000,3.884,0.000,Fragments.py:35(__init__)
725560,0.808,0.000,3.263,0.000,Fragments.py:60(_is_sorted)
1451120,0.250,0.000,0.649,0.000,Fragments.py:66(mz)
725560,0.488,0.000,31.738,0.000,Metadata.py:42(__init__)
725560,0.277,0.000,27.476,0.000,Metadata.py:78(harmonize_metadata)
725560,0.304,0.000,18.848,0.000,Metadata.py:92(get)
1451120,1.074,0.000,21.622,0.000,PickyDict.py:82(__init__)
725560,0.257,0.000,18.493,0.000,PickyDict.py:110(copy)
