ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.394,0.000,0.394,0.000,{method 'copy' of 'list' objects}
90497195,3.197,0.000,3.197,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
10883403,0.732,0.000,0.732,0.000,{method 'get' of 'dict' objects}
725566,0.066,0.000,0.066,0.000,{method 'pop' of 'dict' objects}
7868279,0.432,0.000,0.432,0.000,{method 'keys' of 'dict' objects}
47699959,6.849,0.000,6.849,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.047,0.000,0.047,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.365,0.000,3.365,0.000,{method 'split' of 'str' objects}
725560,0.100,0.000,0.100,0.000,{method 'find' of 'str' objects}
69672124,3.814,0.000,3.814,0.000,{method 'lower' of 'str' objects}
2176680,0.330,0.000,0.330,0.000,{method 'rfind' of 'str' objects}
45174012,2.481,0.000,2.481,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
2176681,0.194,0.000,0.194,0.000,{built-in method builtins.hasattr}
99527655,7.175,0.000,7.708,0.000,{built-in method builtins.isinstance}
725562,0.106,0.000,0.106,0.000,{built-in method builtins.iter}
30165731,1.054,0.000,1.054,0.000,{built-in method builtins.len}
2063800,0.397,0.000,48.664,0.000,{built-in method builtins.next}
725560,0.061,0.000,0.061,0.000,{built-in method sys._getframe}
725560,0.055,0.000,0.055,0.000,{built-in method posix.getpid}
2176680,0.127,0.000,0.127,0.000,{built-in method posix.fspath}
91046558,15.561,0.000,15.561,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.075,0.000,0.075,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.279,0.000,0.279,0.000,{built-in method _abc._abc_instancecheck}
725560,0.107,0.000,0.107,0.000,{built-in method time.time}
725560,0.473,0.000,0.473,0.000,{built-in method time.localtime}
725560,0.927,0.000,0.927,0.000,{built-in method time.strftime}
1451120,0.101,0.000,0.101,0.000,{built-in method _thread.get_ident}
1451131,0.202,0.000,0.202,0.000,{method 'acquire' of '_thread.RLock' objects}
1451131,0.105,0.000,0.105,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
725560,2.783,0.000,2.783,0.000,{method 'write' of '_io.TextIOWrapper' objects}
725560,0.102,0.000,0.102,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
71448,0.058,0.000,0.133,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
1451120,0.254,0.000,0.534,0.000,abc.py:96(__instancecheck__)
1,0.068,0.068,199.532,199.532,profiling.py:11(read_data)
1,0.829,0.829,200.361,200.361,profiling.py:22(main)
725560,0.099,0.000,0.147,0.000,posixpath.py:41(_get_sep)
725560,0.127,0.000,0.180,0.000,posixpath.py:52(normcase)
