ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
2902240,0.169,0.000,0.169,0.000,{method 'copy' of 'list' objects}
90497195,3.011,0.000,3.011,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
4353363,0.252,0.000,0.252,0.000,{method 'get' of 'dict' objects}
6,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
2902240,0.163,0.000,0.163,0.000,{method 'keys' of 'dict' objects}
21424080,4.439,0.000,4.439,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.041,0.000,0.041,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.227,0.000,3.227,0.000,{method 'split' of 'str' objects}
32079000,1.732,0.000,1.732,0.000,{method 'lower' of 'str' objects}
45174012,2.392,0.000,2.392,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
42122739,2.988,0.000,3.210,0.000,{built-in method builtins.isinstance}
725562,0.076,0.000,0.076,0.000,{built-in method builtins.iter}
30165731,1.009,0.000,1.009,0.000,{built-in method builtins.len}
725561,0.093,0.000,46.141,0.000,{built-in method builtins.next}
38494800,6.447,0.000,6.447,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.061,0.000,0.061,0.000,{built-in method _codecs.utf_8_decode}
725560,0.111,0.000,0.111,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
71448,0.037,0.000,0.098,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
725560,0.112,0.000,0.222,0.000,abc.py:96(__instancecheck__)
1,0.059,0.059,104.348,104.348,profiling.py:11(read_data)
1,0.775,0.775,105.124,105.124,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
38494800,6.829,0.000,22.665,0.000,re.py:203(sub)
38494800,6.729,0.000,9.390,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,0.729,0.000,54.838,0.000,Spectrum.py:71(__init__)
1451120,0.394,0.000,0.394,0.000,{method 'copy' of 'numpy.ndarray' objects}
2176680,3.489,0.000,3.489,0.000,{built-in method numpy.array}
1451120,0.377,0.000,3.162,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1451120,1.102,0.000,1.102,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1451120,0.266,0.000,0.266,0.000,fromnumeric.py:70(<dictcomp>)
1451120,0.771,0.000,2.219,0.000,fromnumeric.py:69(_wrapreduction)
1451120,0.128,0.000,0.128,0.000,fromnumeric.py:2399(_all_dispatcher)
1451120,0.566,0.000,2.785,0.000,fromnumeric.py:2404(all)
1451120,0.425,0.000,3.715,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
725560,0.194,0.000,18.260,0.000,Spectrum.py:175(get)
725560,0.081,0.000,0.081,0.000,Spectrum.py:216(losses)
725560,0.248,0.000,18.550,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.001,0.000,0.001,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.001,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
1,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
725560,0.564,0.000,3.858,0.000,Fragments.py:35(__init__)
725560,0.798,0.000,3.237,0.000,Fragments.py:60(_is_sorted)
1451120,0.247,0.000,0.641,0.000,Fragments.py:66(mz)
725560,0.489,0.000,31.620,0.000,Metadata.py:42(__init__)
725560,0.285,0.000,27.354,0.000,Metadata.py:78(harmonize_metadata)
725560,0.302,0.000,18.067,0.000,Metadata.py:92(get)
1451120,1.072,0.000,20.845,0.000,PickyDict.py:82(__init__)
725560,0.257,0.000,17.713,0.000,PickyDict.py:110(copy)
25663200,13.242,0.000,41.630,0.000,PickyDict.py:152(_harmonize_key)
2902240,4.551,0.000,46.513,0.000,PickyDict.py:163(_apply_replacements)
725560,0.164,0.000,13.398,0.000,PickyDict.py:196(key_replacements)
725560,0.165,0.000,13.671,0.000,PickyDict.py:205(key_regex_replacements)
2176680,0.335,0.000,3.824,0.000,mgf.py:82(<lambda>)
1,0.000,0.000,0.000,0.000,mgf.py:142(<dictcomp>)
1,0.000,0.000,0.001,0.001,mgf.py:95(__init__)
725560,0.095,0.000,0.095,0.000,mgf.py:160(header)
1,0.000,0.000,0.000,0.000,mgf.py:166(_read_header_lines)
725560,30.617,0.000,45.014,0.000,mgf.py:180(_read_spectrum_lines)
1,0.000,0.000,0.001,0.001,mgf.py:362(__init__)
1,0.000,0.000,0.000,0.000,mgf.py:369(_read_header)
725560,0.521,0.000,45.535,0.000,mgf.py:373(_read_spectrum)
725561,0.408,0.000,46.048,0.000,mgf.py:376(_read)
1,0.000,0.000,0.000,0.000,file_helpers.py:173(__iter__)
725561,0.131,0.000,46.272,0.000,file_helpers.py:176(__next__)
1,0.000,0.000,0.000,0.000,file_helpers.py:192(__init__)
1,0.000,0.000,0.000,0.000,file_helpers.py:201(reset)
4,0.000,0.000,0.000,0.000,file_helpers.py:219(__getattr__)
1,0.000,0.000,0.000,0.000,file_helpers.py:79(wrapped)
1,0.000,0.000,0.000,0.000,file_helpers.py:94(__init__)
3,0.000,0.000,0.000,0.000,file_helpers.py:128(__getattr__)
725562,0.140,0.000,0.216,0.000,file_helpers.py:131(__iter__)
1,0.000,0.000,0.000,0.000,file_helpers.py:136(__init__)
1,0.000,0.000,0.000,0.000,file_helpers.py:141(__init__)
725561,1.218,0.000,104.289,0.000,load_from_mgf.py:7(load_from_mgf)
1,0.000,0.000,0.001,0.001,logging_functions.py:49(_init_logger)
1,0.000,0.000,0.000,0.000,logging_functions.py:60(set_matchms_logger_level)
1,0.000,0.000,0.001,0.001,logging_functions.py:110(reset_matchms_logger)


