ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.400,0.000,0.400,0.000,{method 'copy' of 'list' objects}
90497195,3.191,0.000,3.191,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
10883403,0.731,0.000,0.731,0.000,{method 'get' of 'dict' objects}
725566,0.064,0.000,0.064,0.000,{method 'pop' of 'dict' objects}
7868279,0.437,0.000,0.437,0.000,{method 'keys' of 'dict' objects}
47699959,11.481,0.000,11.481,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.045,0.000,0.045,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.352,0.000,3.352,0.000,{method 'split' of 'str' objects}
725560,0.100,0.000,0.100,0.000,{method 'find' of 'str' objects}
69672124,3.820,0.000,3.820,0.000,{method 'lower' of 'str' objects}
2176680,0.325,0.000,0.325,0.000,{method 'rfind' of 'str' objects}
45174012,2.484,0.000,2.484,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
2176681,0.192,0.000,0.192,0.000,{built-in method builtins.hasattr}
99527655,7.137,0.000,7.667,0.000,{built-in method builtins.isinstance}
725562,0.103,0.000,0.103,0.000,{built-in method builtins.iter}
30165731,1.050,0.000,1.050,0.000,{built-in method builtins.len}
2063800,0.397,0.000,48.399,0.000,{built-in method builtins.next}
725560,0.061,0.000,0.061,0.000,{built-in method sys._getframe}
725560,0.054,0.000,0.054,0.000,{built-in method posix.getpid}
2176680,0.125,0.000,0.125,0.000,{built-in method posix.fspath}
91046558,15.477,0.000,15.477,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.070,0.000,0.070,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.275,0.000,0.275,0.000,{built-in method _abc._abc_instancecheck}
725560,0.099,0.000,0.099,0.000,{built-in method time.time}
725560,0.465,0.000,0.465,0.000,{built-in method time.localtime}
725560,0.906,0.000,0.906,0.000,{built-in method time.strftime}
1451120,0.103,0.000,0.103,0.000,{built-in method _thread.get_ident}
1451131,0.202,0.000,0.202,0.000,{method 'acquire' of '_thread.RLock' objects}
1451131,0.104,0.000,0.104,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
725560,1.599,0.000,1.599,0.000,{method 'write' of '_io.TextIOWrapper' objects}
