ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.413,0.000,0.413,0.000,{method 'copy' of 'list' objects}
60331464,2.647,0.000,2.647,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
12107844,0.776,0.000,0.776,0.000,{method 'get' of 'dict' objects}
3514461,0.237,0.000,0.237,0.000,{method 'pop' of 'dict' objects}
7868279,0.435,0.000,0.435,0.000,{method 'keys' of 'dict' objects}
46974399,4.709,0.000,4.709,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,5.925,0.000,5.925,0.000,{method 'split' of 'str' objects}
76087924,4.304,0.000,4.304,0.000,{method 'lower' of 'str' objects}
30165731,1.397,0.000,1.397,0.000,{method 'lstrip' of 'str' objects}
67472867,3.710,0.000,3.710,0.000,{method 'rstrip' of 'str' objects}
66747262,2.915,0.000,2.915,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
127516704,9.169,0.000,9.621,0.000,{built-in method builtins.isinstance}
37307136,1.608,0.000,1.608,0.000,{built-in method builtins.len}
1338239,0.258,0.000,0.416,0.000,{built-in method builtins.next}
91046558,15.370,0.000,15.370,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.228,0.000,3.228,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.072,0.000,0.072,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.222,0.000,0.222,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.044,0.000,0.116,0.000,codecs.py:319(decode)
1451120,0.230,0.000,0.452,0.000,abc.py:96(__instancecheck__)
1,0.068,0.068,256.767,256.767,profiling.py:11(read_data)
1,0.788,0.788,257.555,257.555,profiling.py:22(main)
