ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
15,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.430,0.000,0.430,0.000,{method 'copy' of 'list' objects}
60331522,2.819,0.000,2.819,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
13558972,0.947,0.000,0.947,0.000,{method 'get' of 'dict' objects}
3514461,0.272,0.000,0.272,0.000,{method 'pop' of 'dict' objects}
7868279,0.459,0.000,0.459,0.000,{method 'keys' of 'dict' objects}
46974400,7.086,0.000,7.086,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{built-in method fromkeys}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,6.183,0.000,6.183,0.000,{method 'split' of 'str' objects}
725560,0.110,0.000,0.110,0.000,{method 'find' of 'str' objects}
76087924,4.471,0.000,4.471,0.000,{method 'lower' of 'str' objects}
30165731,1.448,0.000,1.448,0.000,{method 'lstrip' of 'str' objects}
2176680,0.361,0.000,0.361,0.000,{method 'rfind' of 'str' objects}
67472867,3.844,0.000,3.844,0.000,{method 'rstrip' of 'str' objects}
66747262,3.021,0.000,3.021,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
2176680,0.215,0.000,0.215,0.000,{built-in method builtins.hasattr}
128967843,9.777,0.000,10.368,0.000,{built-in method builtins.isinstance}
37307183/37307180,1.688,0.000,1.688,0.000,{built-in method builtins.len}
7,0.000,0.000,0.000,0.000,{built-in method builtins.min}
1338239,0.299,0.000,0.477,0.000,{built-in method builtins.next}
4,0.000,0.000,0.000,0.000,{built-in method builtins.ord}
725560,0.074,0.000,0.074,0.000,{built-in method sys._getframe}
725560,0.064,0.000,0.064,0.000,{built-in method posix.getpid}
2176680,0.138,0.000,0.138,0.000,{built-in method posix.fspath}
1,0.000,0.000,0.000,0.000,{built-in method _sre.compile}
91046558,16.231,0.000,16.231,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.360,0.000,3.360,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.089,0.000,0.089,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.317,0.000,0.317,0.000,{built-in method _abc._abc_instancecheck}
725560,0.121,0.000,0.121,0.000,{built-in method time.time}
725560,0.566,0.000,0.566,0.000,{built-in method time.localtime}
725560,0.940,0.000,0.940,0.000,{built-in method time.strftime}
1451120,0.135,0.000,0.135,0.000,{built-in method _thread.get_ident}
1451131,0.224,0.000,0.224,0.000,{method 'acquire' of '_thread.RLock' objects}
1451131,0.111,0.000,0.111,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
725560,3.566,0.000,3.566,0.000,{method 'write' of '_io.TextIOWrapper' objects}
725560,0.113,0.000,0.113,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.087,0.000,0.176,0.000,codecs.py:319(decode)
