ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
2902240,0.189,0.000,0.189,0.000,{method 'copy' of 'list' objects}
60331464,2.630,0.000,2.630,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
7028924,0.439,0.000,0.439,0.000,{method 'get' of 'dict' objects}
2788901,0.190,0.000,0.190,0.000,{method 'pop' of 'dict' objects}
2902240,0.181,0.000,0.181,0.000,{method 'keys' of 'dict' objects}
20698520,3.591,0.000,3.591,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,5.854,0.000,5.854,0.000,{method 'split' of 'str' objects}
38494800,2.262,0.000,2.262,0.000,{method 'lower' of 'str' objects}
30165731,1.385,0.000,1.385,0.000,{method 'lstrip' of 'str' objects}
67472867,3.674,0.000,3.674,0.000,{method 'rstrip' of 'str' objects}
66747262,2.875,0.000,2.875,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
71562908,5.305,0.000,5.539,0.000,{built-in method builtins.isinstance}
37307136,1.594,0.000,1.594,0.000,{built-in method builtins.len}
38494800,6.603,0.000,6.603,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.212,0.000,3.212,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.050,0.000,0.050,0.000,{built-in method _codecs.utf_8_decode}
725560,0.117,0.000,0.117,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.041,0.000,0.092,0.000,codecs.py:319(decode)
725560,0.118,0.000,0.235,0.000,abc.py:96(__instancecheck__)
1,0.068,0.068,184.326,184.326,profiling.py:11(read_data)
1,0.832,0.832,185.159,185.159,profiling.py:22(main)
38494800,7.234,0.000,23.412,0.000,re.py:203(sub)
30165731,6.372,0.000,17.483,0.000,re.py:233(findall)
68660531,12.454,0.000,17.474,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,0.768,0.000,60.567,0.000,Spectrum.py:71(__init__)
1451120,0.462,0.000,0.462,0.000,{method 'copy' of 'numpy.ndarray' objects}
1451120,2.258,0.000,2.258,0.000,{built-in method numpy.array}
1451120,0.400,0.000,3.460,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
