ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.409,0.000,0.409,0.000,{method 'copy' of 'list' objects}
60331464,2.679,0.000,2.679,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
12107844,0.790,0.000,0.790,0.000,{method 'get' of 'dict' objects}
3514461,0.239,0.000,0.239,0.000,{method 'pop' of 'dict' objects}
7868279,0.437,0.000,0.437,0.000,{method 'keys' of 'dict' objects}
46974399,4.447,0.000,4.447,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,5.983,0.000,5.983,0.000,{method 'split' of 'str' objects}
76087924,4.324,0.000,4.324,0.000,{method 'lower' of 'str' objects}
30165731,1.416,0.000,1.416,0.000,{method 'lstrip' of 'str' objects}
67472867,3.748,0.000,3.748,0.000,{method 'rstrip' of 'str' objects}
66747262,2.937,0.000,2.937,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
127516704,9.283,0.000,9.741,0.000,{built-in method builtins.isinstance}
37307136,1.622,0.000,1.622,0.000,{built-in method builtins.len}
1338239,0.264,0.000,0.421,0.000,{built-in method builtins.next}
91046558,15.544,0.000,15.544,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.256,0.000,3.256,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.056,0.000,0.056,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.227,0.000,0.227,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.047,0.000,0.104,0.000,codecs.py:319(decode)
1451120,0.231,0.000,0.458,0.000,abc.py:96(__instancecheck__)
1,0.070,0.070,256.856,256.856,profiling.py:11(read_data)
1,0.791,0.791,257.648,257.648,profiling.py:22(main)
91046558,16.554,0.000,54.424,0.000,re.py:203(sub)
30165731,6.475,0.000,17.700,0.000,re.py:233(findall)
121212289,21.620,0.000,30.293,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,1.039,0.000,130.894,0.000,Spectrum.py:71(__init__)
725560,1.524,0.000,72.239,0.000,Spectrum.py:101(_apply_metadata_harmonization)
1451120,0.511,0.000,0.511,0.000,{method 'copy' of 'numpy.ndarray' objects}
1451120,2.298,0.000,2.298,0.000,{built-in method numpy.array}
1451120,0.422,0.000,3.583,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1451120,1.271,0.000,1.271,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1451120,0.286,0.000,0.286,0.000,fromnumeric.py:70(<dictcomp>)
1451120,0.878,0.000,2.511,0.000,fromnumeric.py:69(_wrapreduction)
1451120,0.136,0.000,0.136,0.000,fromnumeric.py:2399(_all_dispatcher)
1451120,0.650,0.000,3.161,0.000,fromnumeric.py:2404(all)
1451120,0.496,0.000,4.215,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
725560,0.214,0.000,15.016,0.000,Spectrum.py:175(get)
725560,0.356,0.000,31.602,0.000,Spectrum.py:204(metadata)
725560,0.090,0.000,0.090,0.000,Spectrum.py:216(losses)
725560,0.282,0.000,15.339,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
11,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
11,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
2,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
725560,0.174,0.000,0.295,0.000,__init__.py:1448(warning)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
2,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
725561,0.121,0.000,0.121,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
725560,0.630,0.000,4.470,0.000,Fragments.py:35(__init__)
725560,0.943,0.000,3.782,0.000,Fragments.py:60(_is_sorted)
1451120,0.288,0.000,0.798,0.000,Fragments.py:66(mz)
725560,0.115,0.000,0.115,0.000,utils.py:11(<genexpr>)
725560,0.222,0.000,0.494,0.000,utils.py:7(get_first_common_element)
612679,0.793,0.000,1.072,0.000,utils.py:24(<listcomp>)
612679,0.168,0.000,1.240,0.000,utils.py:14(get_common_keys)
1225358,0.094,0.000,0.094,0.000,utils.py:36(<lambda>)
1225358,0.226,0.000,0.226,0.000,utils.py:27(filter_none)
725560,0.079,0.000,0.079,0.000,add_precursor_mz.py:30(_convert_precursor_mz)
725560,0.996,0.000,2.101,0.000,add_precursor_mz.py:48(_add_precursor_mz_metadata)
612679,0.242,0.000,2.043,0.000,add_retention.py:15(safe_store_value)
1225358,0.323,0.000,0.391,0.000,add_retention.py:37(safe_convert_to_float)
612679,0.099,0.000,0.099,0.000,add_retention.py:80(<listcomp>)
612679,1.029,0.000,5.102,0.000,add_retention.py:63(_add_retention)
725560,0.158,0.000,0.215,0.000,interpret_pepmass.py:28(_interpret_pepmass_metadata)
725560,0.090,0.000,0.090,0.000,make_charge_int.py:23(_convert_charge_to_int)
1451120,1.023,0.000,69.093,0.000,Metadata.py:42(__init__)
1451120,0.612,0.000,60.490,0.000,Metadata.py:78(harmonize_metadata)
725560,0.320,0.000,14.802,0.000,Metadata.py:92(get)
725560,0.186,0.000,14.724,0.000,Metadata.py:126(data)
3627800,2.615,0.000,51.536,0.000,PickyDict.py:82(__init__)
2176680,0.734,0.000,45.489,0.000,PickyDict.py:110(copy)
612679,0.277,0.000,1.643,0.000,PickyDict.py:116(__setitem__)
58354879,33.882,0.000,95.966,0.000,PickyDict.py:152(_harmonize_key)
6530040,12.122,0.000,108.042,0.000,PickyDict.py:163(_apply_replacements)
1451120,0.371,0.000,29.239,0.000,PickyDict.py:196(key_replacements)
1451120,0.385,0.000,30.638,0.000,PickyDict.py:205(key_regex_replacements)
725561,1.368,0.000,256.786,0.000,load_from_msp.py:7(load_from_msp)
725561,41.095,0.000,122.301,0.000,load_from_msp.py:58(parse_msp_file)
