ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
2902240,0.188,0.000,0.188,0.000,{method 'copy' of 'list' objects}
60331464,2.619,0.000,2.619,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
7028924,0.439,0.000,0.439,0.000,{method 'get' of 'dict' objects}
2788901,0.189,0.000,0.189,0.000,{method 'pop' of 'dict' objects}
2902240,0.182,0.000,0.182,0.000,{method 'keys' of 'dict' objects}
20698520,4.159,0.000,4.159,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,5.836,0.000,5.836,0.000,{method 'split' of 'str' objects}
38494800,2.262,0.000,2.262,0.000,{method 'lower' of 'str' objects}
30165731,1.378,0.000,1.378,0.000,{method 'lstrip' of 'str' objects}
67472867,3.659,0.000,3.659,0.000,{method 'rstrip' of 'str' objects}
66747262,2.862,0.000,2.862,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
71562908,5.298,0.000,5.531,0.000,{built-in method builtins.isinstance}
37307136,1.579,0.000,1.579,0.000,{built-in method builtins.len}
38494800,6.594,0.000,6.594,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.200,0.000,3.200,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.049,0.000,0.049,0.000,{built-in method _codecs.utf_8_decode}
725560,0.114,0.000,0.114,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.041,0.000,0.090,0.000,codecs.py:319(decode)
725560,0.119,0.000,0.233,0.000,abc.py:96(__instancecheck__)
1,0.071,0.071,186.683,186.683,profiling.py:11(read_data)
1,0.749,0.749,187.433,187.433,profiling.py:22(main)
38494800,7.232,0.000,23.389,0.000,re.py:203(sub)
30165731,6.363,0.000,17.442,0.000,re.py:233(findall)
68660531,12.435,0.000,17.441,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,0.757,0.000,63.023,0.000,Spectrum.py:71(__init__)
1451120,0.471,0.000,0.471,0.000,{method 'copy' of 'numpy.ndarray' objects}
