ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.414,0.000,0.414,0.000,{method 'copy' of 'list' objects}
60331464,2.729,0.000,2.729,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
13558964,0.914,0.000,0.914,0.000,{method 'get' of 'dict' objects}
3514461,0.260,0.000,0.260,0.000,{method 'pop' of 'dict' objects}
7868279,0.452,0.000,0.452,0.000,{method 'keys' of 'dict' objects}
46974399,6.674,0.000,6.674,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,6.013,0.000,6.013,0.000,{method 'split' of 'str' objects}
725560,0.103,0.000,0.103,0.000,{method 'find' of 'str' objects}
76087924,4.380,0.000,4.380,0.000,{method 'lower' of 'str' objects}
30165731,1.423,0.000,1.423,0.000,{method 'lstrip' of 'str' objects}
2176680,0.349,0.000,0.349,0.000,{method 'rfind' of 'str' objects}
67472867,3.752,0.000,3.752,0.000,{method 'rstrip' of 'str' objects}
66747262,2.952,0.000,2.952,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
2176680,0.204,0.000,0.204,0.000,{built-in method builtins.hasattr}
128967824,9.515,0.000,10.074,0.000,{built-in method builtins.isinstance}
37307136,1.648,0.000,1.648,0.000,{built-in method builtins.len}
1338239,0.290,0.000,0.465,0.000,{built-in method builtins.next}
725560,0.067,0.000,0.067,0.000,{built-in method sys._getframe}
725560,0.060,0.000,0.060,0.000,{built-in method posix.getpid}
2176680,0.132,0.000,0.132,0.000,{built-in method posix.fspath}
91046558,15.839,0.000,15.839,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.282,0.000,3.282,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.069,0.000,0.069,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.295,0.000,0.295,0.000,{built-in method _abc._abc_instancecheck}
725560,0.127,0.000,0.127,0.000,{built-in method time.time}
725560,0.509,0.000,0.509,0.000,{built-in method time.localtime}
725560,0.887,0.000,0.887,0.000,{built-in method time.strftime}
1451120,0.114,0.000,0.114,0.000,{built-in method _thread.get_ident}
1451131,0.213,0.000,0.213,0.000,{method 'acquire' of '_thread.RLock' objects}
1451131,0.107,0.000,0.107,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
725560,2.285,0.000,2.285,0.000,{method 'write' of '_io.TextIOWrapper' objects}
725560,0.111,0.000,0.111,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.061,0.000,0.129,0.000,codecs.py:319(decode)
1451120,0.264,0.000,0.559,0.000,abc.py:96(__instancecheck__)
1,0.075,0.075,280.177,280.177,profiling.py:11(read_data)
1,0.804,0.804,280.981,280.981,profiling.py:22(main)
725560,0.104,0.000,0.152,0.000,posixpath.py:41(_get_sep)
725560,0.137,0.000,0.194,0.000,posixpath.py:52(normcase)
725560,0.332,0.000,1.003,0.000,posixpath.py:117(splitext)
725560,0.419,0.000,0.768,0.000,posixpath.py:140(basename)
725560,0.400,0.000,0.591,0.000,genericpath.py:121(_splitext)
91046558,16.894,0.000,55.333,0.000,re.py:203(sub)
30165731,6.542,0.000,17.781,0.000,re.py:233(findall)
121212289,21.823,0.000,30.556,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,1.101,0.000,153.467,0.000,Spectrum.py:71(__init__)
725560,1.789,0.000,95.765,0.000,Spectrum.py:101(_apply_metadata_harmonization)
1451120,0.643,0.000,0.643,0.000,{method 'copy' of 'numpy.ndarray' objects}
1451120,2.355,0.000,2.355,0.000,{built-in method numpy.array}
1451120,0.446,0.000,3.886,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1451120,1.470,0.000,1.470,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1451120,0.307,0.000,0.307,0.000,fromnumeric.py:70(<dictcomp>)
1451120,0.916,0.000,2.772,0.000,fromnumeric.py:69(_wrapreduction)
1451120,0.140,0.000,0.140,0.000,fromnumeric.py:2399(_all_dispatcher)
1451120,0.667,0.000,3.440,0.000,fromnumeric.py:2404(all)
1451120,0.519,0.000,4.545,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
725560,0.113,0.000,0.113,0.000,threading.py:1031(name)
725560,0.151,0.000,0.202,0.000,threading.py:1306(current_thread)
725560,0.227,0.000,15.173,0.000,Spectrum.py:175(get)
725560,0.358,0.000,33.775,0.000,Spectrum.py:204(metadata)
725560,0.092,0.000,0.092,0.000,Spectrum.py:216(losses)
725560,0.302,0.000,15.516,0.000,Spectrum.py:224(peaks)
725561,0.153,0.000,0.201,0.000,__init__.py:119(getLevelName)
725560,0.174,0.000,0.241,0.000,__init__.py:160(<lambda>)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
11,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
11,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
725560,2.766,0.000,5.549,0.000,__init__.py:288(__init__)
725560,0.180,0.000,0.180,0.000,__init__.py:364(getMessage)
725560,0.197,0.000,0.300,0.000,__init__.py:427(usesTime)
725560,0.525,0.000,0.525,0.000,__init__.py:435(_format)
725560,0.158,0.000,0.683,0.000,__init__.py:438(format)
725560,0.566,0.000,1.961,0.000,__init__.py:588(formatTime)
725560,0.182,0.000,0.482,0.000,__init__.py:633(usesTime)
725560,0.165,0.000,0.848,0.000,__init__.py:639(formatMessage)
725560,0.746,0.000,4.217,0.000,__init__.py:655(format)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1451120,0.185,0.000,0.185,0.000,__init__.py:796(filter)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
1451120,0.358,0.000,0.571,0.000,__init__.py:898(acquire)
1451120,0.285,0.000,0.392,0.000,__init__.py:905(release)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
725560,0.238,0.000,4.455,0.000,__init__.py:918(format)
725560,0.569,0.000,9.594,0.000,__init__.py:941(handle)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
725560,0.519,0.000,1.166,0.000,__init__.py:1062(flush)
725560,0.531,0.000,8.437,0.000,__init__.py:1073(emit)
2,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
725560,0.519,0.000,18.879,0.000,__init__.py:1448(warning)
725560,0.674,0.000,1.171,0.000,__init__.py:1514(findCaller)
725560,0.301,0.000,5.850,0.000,__init__.py:1550(makeRecord)
725560,0.583,0.000,18.228,0.000,__init__.py:1565(_log)
725560,0.363,0.000,10.624,0.000,__init__.py:1591(handle)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
725560,0.564,0.000,10.158,0.000,__init__.py:1645(callHandlers)
2,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
725561,0.132,0.000,0.132,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
725560,0.736,0.000,5.166,0.000,Fragments.py:35(__init__)
725560,1.106,0.000,4.370,0.000,Fragments.py:60(_is_sorted)
1451120,0.303,0.000,0.946,0.000,Fragments.py:66(mz)
725560,0.132,0.000,0.132,0.000,utils.py:11(<genexpr>)
725560,0.242,0.000,0.547,0.000,utils.py:7(get_first_common_element)
612679,0.929,0.000,1.233,0.000,utils.py:24(<listcomp>)
612679,0.207,0.000,1.440,0.000,utils.py:14(get_common_keys)
1225358,0.094,0.000,0.094,0.000,utils.py:36(<lambda>)
1225358,0.240,0.000,0.240,0.000,utils.py:27(filter_none)
725560,0.080,0.000,0.080,0.000,add_precursor_mz.py:30(_convert_precursor_mz)
725560,1.163,0.000,20.927,0.000,add_precursor_mz.py:48(_add_precursor_mz_metadata)
612679,0.274,0.000,2.447,0.000,add_retention.py:15(safe_store_value)
1225358,0.355,0.000,0.450,0.000,add_retention.py:37(safe_convert_to_float)
612679,0.113,0.000,0.113,0.000,add_retention.py:80(<listcomp>)
612679,1.132,0.000,5.901,0.000,add_retention.py:63(_add_retention)
725560,0.162,0.000,0.220,0.000,interpret_pepmass.py:28(_interpret_pepmass_metadata)
725560,0.098,0.000,0.098,0.000,make_charge_int.py:23(_convert_charge_to_int)
1451120,1.072,0.000,68.621,0.000,Metadata.py:42(__init__)
1451120,0.658,0.000,59.617,0.000,Metadata.py:78(harmonize_metadata)
725560,0.326,0.000,14.947,0.000,Metadata.py:92(get)
725560,0.188,0.000,14.712,0.000,Metadata.py:126(data)
3627800,2.676,0.000,54.022,0.000,PickyDict.py:82(__init__)
2176680,0.760,0.000,47.795,0.000,PickyDict.py:110(copy)
612679,0.323,0.000,2.001,0.000,PickyDict.py:116(__setitem__)
58354879,32.349,0.000,97.587,0.000,PickyDict.py:152(_harmonize_key)
6530040,12.289,0.000,109.528,0.000,PickyDict.py:163(_apply_replacements)
1451120,0.382,0.000,29.653,0.000,PickyDict.py:196(key_replacements)
1451120,0.394,0.000,29.305,0.000,PickyDict.py:205(key_regex_replacements)
725560,0.052,0.000,0.052,0.000,process.py:37(current_process)
725560,0.077,0.000,0.077,0.000,process.py:189(name)
725561,1.447,0.000,280.102,0.000,load_from_msp.py:7(load_from_msp)
725561,41.292,0.000,122.911,0.000,load_from_msp.py:58(parse_msp_file)
30165731,13.353,0.000,19.077,0.000,load_from_msp.py:109(get_peak_values)
30165731,5.882,0.000,8.683,0.000,load_from_msp.py:120(<lambda>)
30165731,8.190,0.000,10.145,0.000,load_from_msp.py:117(get_peak_tuples)
30165731,8.993,0.000,26.774,0.000,load_from_msp.py:124(get_peak_comment)
6415800,3.125,0.000,5.176,0.000,load_from_msp.py:133(parse_metadata)
36581531,2.528,0.000,2.528,0.000,load_from_msp.py:148(contains_metadata)
1,0.000,0.000,0.000,0.000,logging_functions.py:49(_init_logger)
1,0.000,0.000,0.000,0.000,logging_functions.py:60(set_matchms_logger_level)
1,0.000,0.000,0.000,0.000,logging_functions.py:110(reset_matchms_logger)


