ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
2902240,0.194,0.000,0.194,0.000,{method 'copy' of 'list' objects}
60331464,2.631,0.000,2.631,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
7028924,0.441,0.000,0.441,0.000,{method 'get' of 'dict' objects}
2788901,0.193,0.000,0.193,0.000,{method 'pop' of 'dict' objects}
2902240,0.184,0.000,0.184,0.000,{method 'keys' of 'dict' objects}
20698520,4.019,0.000,4.019,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
66747262,5.876,0.000,5.876,0.000,{method 'split' of 'str' objects}
38494800,2.279,0.000,2.279,0.000,{method 'lower' of 'str' objects}
30165731,1.385,0.000,1.385,0.000,{method 'lstrip' of 'str' objects}
67472867,3.684,0.000,3.684,0.000,{method 'rstrip' of 'str' objects}
66747262,2.884,0.000,2.884,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
71562908,5.327,0.000,5.563,0.000,{built-in method builtins.isinstance}
37307136,1.598,0.000,1.598,0.000,{built-in method builtins.len}
38494800,6.655,0.000,6.655,0.000,{method 'sub' of 're.Pattern' objects}
30165731,3.227,0.000,3.227,0.000,{method 'findall' of 're.Pattern' objects}
63293,0.052,0.000,0.052,0.000,{built-in method _codecs.utf_8_decode}
725560,0.116,0.000,0.116,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
63293,0.043,0.000,0.094,0.000,codecs.py:319(decode)
725560,0.120,0.000,0.236,0.000,abc.py:96(__instancecheck__)
1,0.071,0.071,188.807,188.807,profiling.py:11(read_data)
1,0.668,0.668,189.476,189.476,profiling.py:22(main)
38494800,7.275,0.000,23.570,0.000,re.py:203(sub)
30165731,6.408,0.000,17.582,0.000,re.py:233(findall)
68660531,12.553,0.000,17.588,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
725560,0.765,0.000,64.230,0.000,Spectrum.py:71(__init__)
1451120,0.476,0.000,0.476,0.000,{method 'copy' of 'numpy.ndarray' objects}
1451120,2.272,0.000,2.272,0.000,{built-in method numpy.array}
1451120,0.401,0.000,3.501,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1451120,1.289,0.000,1.289,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1451120,0.278,0.000,0.278,0.000,fromnumeric.py:70(<dictcomp>)
1451120,0.832,0.000,2.488,0.000,fromnumeric.py:69(_wrapreduction)
1451120,0.131,0.000,0.131,0.000,fromnumeric.py:2399(_all_dispatcher)
1451120,0.612,0.000,3.100,0.000,fromnumeric.py:2404(all)
1451120,0.469,0.000,4.101,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
725560,0.198,0.000,18.511,0.000,Spectrum.py:175(get)
725560,0.084,0.000,0.084,0.000,Spectrum.py:216(losses)
725560,0.263,0.000,18.816,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.001,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.001,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
